"","Id","vannlnr","vannlnr2","1995.pred_1995","1995.var_1995","1980.pred_1980","1980.var_1980"
"571",0,2888,28881,431.597025831144,988.208159339427,326.549809236359,1917.6215898171
"572",0,2899,28999,453.272219139372,1041.46921423827,355.667097719739,2020.97587095775
"573",0,2577,25774,451.263895647246,991.347138834113,350.220141634719,1923.71291277602
"574",0,2576,25767,460.612187962605,1037.48734403104,369.022039782729,2013.24761959095
"575",0,2714,27148,373.064987842942,941.115209240331,268.634037747892,1826.23783770449
"576",0,2986,29862,277.502341381519,977.43041786339,190.031275386441,1896.70766157785
"577",0,2984,29843,275.649329369867,973.828009029112,188.631441254837,1889.71647446644
"578",0,1605,1605,268.866087689966,583.91664706334,183.10657042892,1133.09285106158
"579",0,2718,27187,325.540749920383,625.321829368951,240.130958274631,1213.43805181289
"580",0,1568,15683,254.19614156324,992.923533583014,188.855434538051,1926.77295884328
"581",0,1565,15657,264.548554198092,902.133134932816,195.363735135318,1750.59229500199
"582",0,1591,15918,247.469653705837,1052.53363142844,186.826617819965,2042.44493647738
"583",0,1589,15895,249.732275167606,1036.17025266795,188.135370548573,2010.6922912058
"584",0,1590,15906,250.139897766837,988.515135613279,188.783949227583,1918.21700750633
"585",0,1512,1512,246.92493330765,1008.35776564269,186.180090772101,1956.72358322783
"586",0,1558,15587,259.343351932411,912.285897643287,191.093608021814,1770.2942398768
"587",0,1623,16235,268.906078630224,817.916306134929,206.401343963718,1587.16941761844
"588",0,1556,15565,237.411850412875,1004.85378266136,176.867859282782,1949.92139012664
"589",0,1554,15543,255.907717746032,929.59493138845,188.3604075355,1803.88222876968
"590",0,2999,29997,225.605363645842,605.208401792982,164.658040659936,1174.40904545401
"591",0,3012,30121,230.837170552753,901.764752357158,171.287216654408,1749.87735000455
"592",0,1567,1567,231.814276867378,891.703998567824,174.507274949789,1730.35402142562
"593",0,3000,30003,234.896060738014,390.630376058849,169.861896914666,758.019683690244
"594",0,3002,30027,228.926117220619,539.57170832598,167.298684720254,1047.04155947786
"595",0,2966,29669,213.529035820055,1007.91779399511,148.057145609492,1955.86845467737
"596",0,2962,29629,213.267449335977,1023.13853968896,147.423513267461,1985.40381637359
"597",0,2960,29606,210.330733091754,1064.48603936924,145.246824806102,2065.63928203779
"598",0,2933,29333,201.972981884247,783.219520074145,135.664599716909,1519.84010609251
"599",0,2944,29447,221.308443077724,842.90875071141,148.029920626187,1635.66714152573
"600",0,3045,30450,206.762516743201,581.491552932548,147.835153188211,1128.38614991659
"601",0,3042,30429,205.880189391754,549.358487453087,146.737974582346,1066.03162999131
"602",0,2950,29509,198.589046106072,907.483725041912,137.729091461236,1760.97557916474
"603",0,1600,1600,205.504000184661,945.45969356158,139.389545465076,1834.66904944895
"604",0,2840,28406,422.397561500846,556.274387626627,349.926524624348,1079.45389629917
"605",0,2851,28517,397.136783925443,1051.02348408551,356.384027030484,2039.51495766073
"606",0,1743,1743,392.15826210027,1031.81929053817,352.676934311364,2002.24937786398
"607",0,2856,28562,434.346669782669,887.60562411721,368.045402982958,1722.40380228914
"608",0,1643,1643,429.276839667773,950.358924698218,373.900934087646,1844.17383874528
"609",0,2861,28618,413.55503314023,903.958902303663,313.545814891504,1754.13529301678
"610",0,2851,28512,412.311424816707,749.659035736058,317.150975341952,1454.71551664808
"611",0,2956,29566,346.68497190461,1047.57339998329,248.456399410848,2032.82023966741
"612",0,2951,29516,274.205404100108,852.967606877191,185.824729069851,1655.18753652688
"613",0,2944,29446,287.830071197817,846.396374720815,196.286380072447,1642.43613396729
"614",0,1735,1735,279.111786484709,741.227008482787,189.862391192889,1438.35326459875
"615",0,1734,1734,317.565109702536,628.993444983079,222.876686892447,1220.56406361401
"616",0,2832,28322,342.554692421459,921.331093177859,248.751667928961,1787.84671981035
"617",0,2959,29599,339.318387197509,1073.7608009498,240.107936759616,2083.63645358821
"618",0,1655,1655,337.96872643292,1036.43371824859,239.367404329279,2011.20196425752
"619",0,2835,28354,408.559623050896,602.343698388077,332.347391111509,1168.84997972493
"620",0,2832,28325,386.482433105549,879.345924091847,307.30758449524,1706.37338079763
"621",0,1751,1751,365.684384052191,918.444735828096,274.697154625563,1782.24543186276
"622",0,2818,28187,360.434979248228,995.585075403744,311.72829020222,1931.93666669656
"623",0,1165,11658,349.516371630493,1040.21667302396,294.263352031249,2018.54393668522
"624",0,2813,28139,343.542609837021,546.952144519247,310.023684449826,1061.36228125721
"625",0,1774,1774,360.692630742567,923.261134564094,312.647040571101,1791.59206261127
"626",0,1813,1813,294.609589245467,773.497966758106,273.46630998495,1500.97514251651
"627",0,3109,31098,282.021972005817,1045.05183002598,219.767305428969,2027.92652300562
"628",0,2928,29286,302.219795960845,346.023256423251,208.215169716353,671.460322210494
"629",0,2807,28070,329.540037946401,779.41955866434,255.436395456111,1512.46712402277
"630",0,0,29373,305.112425657977,686.987291509955,210.903313745573,1333.10226861705
"631",0,2812,28120,323.137813647912,465.327372891845,236.722763054371,902.970370312402
"632",0,1806,1806,225.160763275607,774.599998702216,150.25313180309,1503.11476506206
"633",0,3124,31244,168.861455485733,989.450102523633,161.31904253386,1920.03154845139
"634",0,3144,31447,218.003188283475,1030.55334920795,195.137289211532,1999.7928150362
"635",0,3107,31072,320.692213263873,685.120008197963,282.544196613961,1329.47759954725
"636",0,1930,1930,293.960222330684,927.045817917622,257.89113430436,1798.9360605012
