"","Id","vannlnr","vannlnr2","1995.pred_1995","1995.var_1995","1980.pred_1980","1980.var_1980"
"0",0,3562,3562,789.772978410114,6840.2806151712,1654.13035263353,52297.207263976
"1",0,3608,3608,798.567249039737,6400.65485384953,1667.78575153277,48936.0704209254
"2",0,316,316,698.492902788469,1529.06698914007,1483.57527872299,11690.4379747941
"3",0,133,133,755.817390582137,4801.62824511494,1565.17183892129,36710.7497629267
"4",0,3494,3494,784.819916874422,5507.85477048511,1646.18472454211,42110.2055144
"5",0,3454,3454,787.801621523608,3589.70306372649,1657.07679608463,27445.0617380622
"6",0,3344,3344,703.715210583549,6787.7189220131,1506.90200625121,51895.3850154527
"7",0,3438,3438,790.0037069731,1248.98266228996,1662.94128217381,9549.06720776458
"8",0,323,323,654.48091689083,2738.77357164365,1403.21298056119,20939.2027881588
"9",0,3415,3415,749.303572300098,4785.44222125384,1576.4500100147,36586.9809585515
"10",0,295,295,718.054966720794,5729.6985436032,1508.10442911837,43806.2879940599
"11",0,297,297,657.257505242064,4571.87571685031,1384.06272770436,34954.197572115
"12",0,5509,5509,671.16585206987,4667.77655131653,1356.14039671263,35687.4076724304
"13",0,3208,3208,651.67761238814,6596.33495826785,1401.80840827445,50432.1311640046
"14",0,3446,3446,759.865114812939,5703.88629942763,1581.65256690908,43608.9425960966
"15",0,3268,3268,662.534195774681,6864.18404052313,1425.4026406381,52479.9931849822
"16",0,3184,3184,642.490684534313,5964.47763548239,1381.05865263128,45601.2929972993
"17",0,315,315,607.425078512413,3158.25435091096,1293.40448133985,24146.3810606871
"18",0,3107,3107,624.543568511995,6145.89476440533,1325.03024802182,46988.2627779411
"19",0,3067,3067,619.835959618032,7124.13453100961,1298.00500297438,54467.428098821
"20",0,3067,4141,583.118440019779,3845.35290469405,1183.45859526714,29399.5659701647
"21",0,4404,4404,606.742733974809,4140.39411571685,1290.97505551046,31655.3095387751
"22",0,4298,4298,592.120499434923,3297.73982793005,1247.25833509869,25212.8073966722
"23",0,4725,4725,558.692198906663,4568.2934501546,1091.65255799182,34926.7984218763
"24",0,3981,3981,559.232032643769,4558.91383487847,1098.90614275605,34855.1073809425
"25",0,3943,3943,554.587692426731,5385.32277015679,1082.31779352959,41173.3579079604
"26",0,141,141,559.905638080333,2160.94335996854,1091.98403379511,16521.4292857872
"27",0,5505,5505,648.067546014198,5897.99445140075,1361.53022598582,45093.0035659969
"28",0,5168,5168,630.830110872621,5134.02406806086,1271.06531568452,39252.0398343789
"29",0,300,300,624.117896653684,5296.89408415089,1255.84887125626,40497.2905832884
"30",0,4313,4313,571.651728737653,3766.87268280171,1153.85773485926,28799.5277991602
"31",0,4332,4332,593.467772865854,6801.843882938,1223.75070051847,52003.3335445524
"32",0,371,371,580.688519308138,6450.14377536375,1183.99383947517,49314.4555183316
"33",0,194,194,476.755436234181,3029.00746466234,871.735539814714,23158.2182132376
"34",0,4448,4448,492.244004430663,5227.96524614553,886.816464447126,39970.2929422503
"35",0,3723,33723,478.733405914508,2649.96344241768,876.033495009532,20260.2116749561
"36",0,257,257,429.367819914414,4808.20339939768,707.509934952192,36761.0010080135
"37",0,118,118,534.319930559992,5650.13352618591,1016.25914219562,43197.9851127526
"38",0,3954,3954,553.598346756495,6081.37218521231,1089.26181979508,46495.0124088363
