"","Id","vannlnr","vannlnr2","1995.pred_1995","1995.var_1995","1980.pred_1980","1980.var_1980"
"0",0,3562,3562,367.577682984684,4433.78716958776,330.126595761449,7033.43492680612
"1",0,3608,3608,373.260135256042,4149.130870836,334.749375888932,6581.64237263007
"2",0,316,316,334.009059649529,991.021736816487,314.610502580826,1572.16212745315
"3",0,133,133,342.047014916159,3112.23696050962,317.603344021574,4937.11833945199
"4",0,3494,3494,357.66510663634,3571.06980865,324.565238510756,5664.15331947679
"5",0,3454,3454,356.252206723789,2328.0018792612,324.307329281562,3692.04586044995
"6",0,3344,3344,335.453899059123,4400.03464807362,315.649082439997,6979.6480747025
"7",0,3438,3438,354.873886281849,810.20374738746,324.250737230033,1284.76183613413
"8",0,323,323,321.536801814518,1774.86648102436,309.16116922525,2815.80628109322
"9",0,3415,3415,345.650947356351,3102.82461269927,322.709310642629,4921.35124390202
"10",0,295,295,334.09965571411,3713.57960628211,321.52209309663,5891.21515475523
"11",0,297,297,321.173279960987,2963.76366728456,312.906413838467,4701.24372457111
"12",0,5509,5509,303.868669634903,3026.0541318724,293.87381344381,4799.95755109916
"13",0,3208,3208,315.959055455344,4276.05253196428,299.726482767871,6782.91591135565
"14",0,3446,3446,346.076702507539,3697.67655166311,321.225561570126,5865.3469601395
"15",0,3268,3268,324.964802790661,4449.39876747696,310.677044918407,7058.1098916927
"16",0,3184,3184,313.045742132747,3866.58139684177,298.869463436629,6133.29049539583
"17",0,315,315,302.313310944291,2047.86469381801,296.233620826176,3248.02264071461
"18",0,3107,3107,313.056437193071,3983.73890885779,305.289375759572,6319.47579336212
"19",0,3067,3067,307.965753840552,4617.74719634172,299.865097314685,7325.28025786837
"20",0,3067,4141,295.744388063077,2493.64219056632,284.750354691572,3954.85587477048
"21",0,4404,4404,302.129843480223,2684.93693798533,296.104953593941,4258.27178676205
"22",0,4298,4298,292.072136877556,2138.46353796755,284.408943400372,3391.59801704286
"23",0,4725,4725,282.469099437425,2962.08938173577,269.932507255484,4698.08646600623
"24",0,3981,3981,284.047722006782,2956.15858027921,271.200045081228,4688.56288388803
"25",0,3943,3943,280.86008852811,3491.57277214835,267.856276935126,5538.09996139633
"26",0,141,141,281.331996019741,1400.70605008881,269.205222035026,2221.97049442198
"27",0,5505,5505,317.578029699648,3823.81856495063,309.14954534588,6065.19934669583
"28",0,5168,5168,295.289202342727,3328.66135565986,284.761429193328,5279.68610698136
"29",0,300,300,294.170684437268,3433.9541070294,283.716584456086,5446.93209915489
"30",0,4313,4313,266.839297866169,2441.37584820464,243.092840731887,3873.02537681597
"31",0,4332,4332,278.765160872901,4408.74689860115,253.339432416234,6993.80981069763
"32",0,371,371,272.695624882475,4181.01706482092,249.460483548065,6632.37338240687
"33",0,194,194,245.342755847164,1964.32011369235,233.845045622106,3115.31564014683
"34",0,4448,4448,251.118683613564,3389.68676991016,237.872378038813,5376.38960492698
"35",0,3723,33723,247.831057133493,1718.71599296253,236.156927765389,2725.63784533383
"36",0,257,257,211.721895840632,3116.79396747648,193.621461649263,4944.11819882437
"37",0,118,118,269.263095313951,3661.70166395081,255.82614519627,5809.15572485131
"38",0,3954,3954,279.010479948694,3942.57001590005,264.985085192461,6253.66431041929
"39",0,3934,3934,272.980593351909,4035.55181631799,257.747921288692,6401.32008418975
"40",0,4041,4041,273.759698817537,2519.00552318876,258.953525312564,3996.04740967431
