,default,min_abs_bias,min_rmsd,observation
0.5,21.294,22.043,21.659,21.598
1.5,21.294,22.043,21.659,21.24
2.5,21.294,22.043,21.659,20.435
3.5,21.294,21.68,20.84,19.608
4.5,20.85,20.053,19.057,19.085
5.5,20.118,18.038,17.367,17.84
6.5,19.608,14.401,15.583,16.293
7.5,18.964,11.933,13.992,14.011
8.5,18.291,10.268,12.673,12.322
9.5,17.536,9.068,11.604,11.29
10.5,16.698,8.167,10.736,10.394
11.5,15.877,7.479,10.028,9.929
12.5,15.136,6.948,9.444,9.28
13.5,14.498,6.535,8.957,8.743
14.5,13.958,6.211,8.549,8.356
15.5,13.504,5.954,8.202,8.031
16.5,13.122,5.73,7.907,7.841
17.5,12.799,5.524,7.653,7.558
18.5,12.524,5.336,7.433,7.417
19.5,12.29,5.168,7.242,7.334
20.5,12.09,5.017,7.074,7.294
21.5,11.917,4.884,6.923,7.256
22.5,11.769,4.768,6.779,7.248
23.5,11.641,4.668,6.644,7.278
