,default,min_abs_bias,min_rmsd,observation
0.5,21.392,21.667,21.666,22.218
1.5,21.392,21.667,21.666,21.941
2.5,21.392,21.667,21.666,21.405
3.5,21.392,21.667,20.986,19.86
4.5,21.392,20.868,18.26,17.114
5.5,21.35,18.869,15.815,13.51
6.5,20.271,16.938,13.759,11.125
7.5,19.713,15.061,12.167,10.438
8.5,19.055,13.519,10.954,10.086
9.5,18.34,12.307,10.025,9.819
10.5,17.606,11.352,9.303,9.654
11.5,16.911,10.591,8.734,9.457
12.5,16.29,9.974,8.279,9.226
13.5,15.754,9.469,7.91,8.929
14.5,15.301,9.052,7.609,8.68
15.5,14.921,8.707,7.36,8.474
16.5,14.605,8.419,7.153,8.341
