,default,min_abs_bias,min_rmsd,observation
0.5,17.064,17.415,17.394,16.983
1.5,17.064,17.415,17.394,16.983
2.5,17.064,17.415,17.394,16.972
3.5,17.064,17.415,17.394,16.897
4.5,17.064,17.415,17.394,16.674
5.5,17.064,17.415,17.394,16.587
6.5,17.064,17.415,17.394,16.509
7.5,17.064,17.219,16.787,16.44
8.5,16.579,14.066,13.915,16.33
9.5,14.613,12.623,12.542,14.971
10.5,13.791,11.503,11.461,12.401
11.5,13.065,10.648,10.625,11.147
12.5,12.428,9.995,9.978,10.362
13.5,11.874,9.488,9.47,9.706
14.5,11.394,9.088,9.064,9.197
15.5,10.979,8.766,8.734,8.492
16.5,10.62,8.503,8.46,8.042
17.5,10.308,8.284,8.23,7.706
18.5,10.037,8.1,8.032,7.444
19.5,9.799,7.943,7.862,7.338
20.5,9.59,7.808,7.712,7.205
21.5,9.406,7.687,7.578,7.057
22.5,9.242,7.574,7.453,6.978
23.5,9.097,7.468,7.334,6.899
24.5,8.966,7.37,7.22,6.839
25.5,8.85,7.28,7.113,6.78
26.5,8.745,7.196,7.011,6.705
27.5,8.646,7.119,6.914,6.639
28.5,8.553,7.048,6.823,6.602
29.5,8.465,6.983,6.736,6.563
30.5,8.382,6.924,6.654,6.529
31.5,8.303,6.87,6.576,6.508
32.5,8.23,6.82,6.502,6.49
33.5,8.161,6.776,6.433,6.47
34.5,8.096,6.736,6.368,6.447
35.5,8.037,6.699,6.307,6.437
36.5,7.981,6.667,6.25,6.422
37.5,7.93,6.638,6.197,6.412
38.5,7.884,6.612,6.148,6.391
39.5,7.842,6.589,6.103,6.364
40.5,7.804,6.569,6.061,6.343
41.5,7.77,6.552,6.024,6.317
