,default,min_abs_bias,min_rmsd,observation
0.5,19.716,20.769,20.277,15.505
1.5,19.612,20.004,19.625,14.978
2.5,18.576,18.98,18.549,14.749
3.5,18.229,18.188,17.836,14.579
4.5,18.021,10.362,15.669,14.353
5.5,17.821,7.435,13.133,14.101
6.5,17.482,6.127,11.368,13.74
7.5,16.862,5.464,10.113,13.154
8.5,15.729,5.087,9.197,10.249
9.5,14.827,4.785,8.51,8.258
10.5,14.099,4.549,7.981,7.076
11.5,13.511,4.372,7.567,6.689
12.5,13.033,4.245,7.236,6.514
13.5,12.639,4.156,6.967,6.442
14.5,12.315,4.097,6.746,6.417
15.5,12.046,4.059,6.562,6.362
16.5,11.823,4.035,6.393,6.365
17.5,11.638,4.02,6.238,6.417
