,default,min_abs_bias,min_rmsd,observation
0.5,20.53,21.455,21.332,22.193
1.5,20.53,21.455,21.332,20.389
2.5,20.53,20.885,20.77,18.954
3.5,20.178,19.766,19.635,18.641
4.5,19.348,19.331,19.091,18.399
5.5,19.122,17.307,17.653,17.461
6.5,18.966,13.298,14.832,15.384
7.5,18.848,11.62,13.012,13.821
8.5,18.726,10.647,11.764,12.82
9.5,18.563,9.863,10.816,11.944
10.5,18.295,9.059,10.031,10.35
11.5,17.747,8.17,9.339,9.377
12.5,16.999,7.277,8.713,8.413
13.5,16.359,6.519,8.148,7.366
14.5,15.823,5.955,7.647,6.832
15.5,15.378,5.555,7.214,6.498
16.5,15.009,5.256,6.846,6.339
17.5,14.702,4.993,6.538,6.185
18.5,14.444,4.768,6.28,6.088
19.5,14.228,4.583,6.065,6.035
20.5,14.047,4.433,5.865,6.001
