,default,min_abs_bias,min_rmsd,observation
0.5,19.595,20.592,20.577,19.66
1.5,19.595,20.592,20.577,21.817
2.5,19.595,20.592,20.577,21.221
3.5,19.595,20.592,20.577,20.88
4.5,19.595,20.592,20.577,20.355
5.5,19.595,20.226,19.951,19.415
6.5,19.595,19.463,18.467,17.917
7.5,19.23,16.433,14.784,15.276
8.5,18.987,11.791,11.709,12.437
9.5,18.858,10.094,10.029,10.627
10.5,18.678,9.025,8.927,9.302
11.5,18.305,8.153,8.119,8.156
12.5,17.672,7.419,7.498,7.133
13.5,16.728,6.83,7.014,6.419
14.5,15.607,6.38,6.634,5.943
15.5,14.511,6.044,6.335,5.695
16.5,13.618,5.795,6.097,5.568
17.5,12.922,5.577,5.891,5.413
18.5,12.382,5.388,5.703,5.306
19.5,11.956,5.227,5.534,5.222
20.5,11.614,5.092,5.383,5.169
21.5,11.333,4.98,5.25,5.118
22.5,11.099,4.889,5.135,5.05
23.5,10.901,4.815,5.035,4.969
24.5,10.731,4.757,4.949,4.921
25.5,10.584,4.711,4.877,4.884
26.5,10.456,4.674,4.816,4.875
27.5,10.343,4.646,4.766,4.866
28.5,10.244,4.624,4.724,4.816
29.5,10.155,4.607,4.69,4.76
30.5,10.075,4.594,4.662,4.732
31.5,10.0,4.584,4.64,4.742
