,default,min_abs_bias,min_rmsd,observation
0.5,22.277,22.376,22.44,21.474
1.5,22.277,22.376,22.44,20.91
2.5,22.138,22.112,21.956,20.547
3.5,21.416,21.2,20.909,20.116
4.5,20.904,20.665,20.083,19.606
5.5,20.572,20.089,19.183,19.211
6.5,20.204,19.438,18.291,18.437
7.5,19.716,18.803,17.355,17.596
8.5,19.268,18.099,16.453,17.044
9.5,18.778,17.359,15.63,16.371
10.5,18.196,16.656,14.901,15.615
11.5,17.548,16.024,14.265,14.859
12.5,16.919,15.475,13.712,13.96
13.5,16.353,15.003,13.232,13.373
14.5,15.864,14.601,12.815,12.574
15.5,15.448,14.257,12.453,11.835
16.5,15.097,13.964,12.139,11.49
17.5,14.8,13.713,11.866,11.231
18.5,14.549,13.5,11.63,11.13
19.5,14.336,13.318,11.426,11.006
20.5,14.157,13.164,11.252,10.885
21.5,14.006,13.033,11.103,10.813
