,default,min_abs_bias,min_rmsd,observation
0.5,20.999,21.756,21.649,20.239
1.5,20.999,21.756,21.649,19.11
2.5,20.999,20.313,20.395,18.736
3.5,19.66,19.393,19.461,18.602
4.5,19.417,18.322,18.82,18.518
5.5,19.21,15.592,16.985,18.317
6.5,19.004,13.567,14.817,17.981
7.5,18.757,12.119,13.281,17.115
8.5,18.34,11.034,12.169,14.045
9.5,17.511,10.178,11.322,11.323
10.5,16.745,9.475,10.641,9.725
11.5,16.082,8.887,10.072,9.05
12.5,15.526,8.39,9.584,8.526
13.5,15.065,7.968,9.157,7.9
14.5,14.683,7.611,8.783,7.484
15.5,14.367,7.309,8.454,7.159
16.5,14.104,7.055,8.167,6.915
17.5,13.886,6.84,7.919,6.56
18.5,13.706,6.66,7.705,6.423
