,default,min_abs_bias,min_rmsd,observation
0.5,16.978,17.948,17.604,17.801
1.5,16.978,17.948,17.604,17.782
2.5,16.978,17.948,17.604,17.745
3.5,16.978,17.948,17.604,17.688
4.5,16.978,17.948,17.604,17.089
5.5,16.978,17.948,17.365,15.65
6.5,16.978,16.038,14.015,14.415
7.5,16.978,12.152,12.338,12.63
8.5,16.978,10.382,11.068,11.157
9.5,16.978,8.541,10.072,10.478
10.5,16.978,7.18,9.281,9.962
11.5,16.978,6.388,8.646,8.849
12.5,16.978,5.937,8.133,7.65
13.5,15.05,5.669,7.715,7.238
14.5,14.059,5.463,7.372,6.988
15.5,13.57,5.309,7.089,6.728
16.5,13.178,5.197,6.852,6.426
17.5,12.849,5.12,6.652,6.291
18.5,12.568,5.067,6.477,6.219
19.5,12.326,5.033,6.314,6.068
20.5,12.117,5.01,6.162,5.989
21.5,11.938,4.994,6.021,5.941
22.5,11.783,4.984,5.892,5.891
23.5,11.65,4.975,5.773,5.842
24.5,11.534,4.968,5.665,5.831
25.5,11.434,4.96,5.566,5.845
26.5,11.347,4.951,5.477,5.803
27.5,11.272,4.939,5.396,5.803
28.5,11.204,4.925,5.323,5.815
29.5,11.141,4.909,5.258,5.799
