,default,min_abs_bias,min_rmsd,observation
0.5,20.399,20.977,20.603,19.41
1.5,20.399,20.977,20.603,18.761
2.5,20.399,20.652,20.107,17.554
3.5,20.263,18.878,18.671,17.155
4.5,19.067,17.758,17.745,16.896
5.5,18.616,15.628,16.709,16.591
6.5,18.291,13.467,15.725,16.324
7.5,17.983,11.989,14.842,16.039
8.5,17.605,10.966,14.074,15.599
9.5,17.05,10.232,13.419,14.485
10.5,16.337,9.686,12.866,13.277
11.5,15.679,9.269,12.402,12.174
12.5,15.122,8.945,12.013,11.355
13.5,14.665,8.689,11.691,11.065
14.5,14.297,8.484,11.424,10.755
15.5,14.001,8.32,11.204,10.581
16.5,13.764,8.189,11.026,10.596
