,default,min_abs_bias,min_rmsd,observation
0.5,17.753,18.853,18.853,15.791
1.5,17.753,18.853,18.853,15.199
2.5,17.753,18.853,18.853,14.563
3.5,17.753,18.853,18.853,13.706
4.5,17.753,18.853,18.853,12.646
5.5,17.753,17.438,17.438,10.317
6.5,17.753,15.697,15.697,9.273
7.5,16.803,13.586,13.586,8.722
8.5,15.547,11.91,11.91,8.255
9.5,14.771,10.72,10.72,7.801
10.5,14.055,9.812,9.812,7.021
11.5,13.397,9.07,9.07,6.478
12.5,12.793,8.442,8.442,5.868
13.5,12.237,7.904,7.904,5.75
14.5,11.726,7.438,7.438,5.728
15.5,11.255,7.032,7.032,5.725
16.5,10.82,6.678,6.678,5.687
17.5,10.418,6.367,6.367,5.473
18.5,10.047,6.093,6.093,5.425
19.5,9.705,5.852,5.852,5.364
20.5,9.388,5.63,5.63,5.318
21.5,9.095,5.428,5.428,5.291
22.5,8.825,5.25,5.25,5.226
23.5,8.575,5.093,5.093,5.223
24.5,8.345,4.955,4.955,5.193
25.5,8.132,4.835,4.835,5.091
26.5,7.936,4.73,4.73,5.024
27.5,7.754,4.639,4.639,4.887
28.5,7.586,4.559,4.559,4.867
29.5,7.431,4.488,4.488,4.88
30.5,7.287,4.426,4.426,4.885
31.5,7.149,4.371,4.371,4.869
32.5,7.014,4.322,4.322,4.875
33.5,6.884,4.278,4.278,4.865
34.5,6.757,4.239,4.239,4.862
35.5,6.636,4.205,4.205,4.859
36.5,6.518,4.175,4.175,4.826
37.5,6.405,4.15,4.15,4.738
38.5,6.297,4.128,4.128,4.721
39.5,6.194,4.109,4.109,4.729
40.5,6.095,4.093,4.093,4.737
41.5,6.0,4.08,4.08,4.702
