,default,min_abs_bias,min_rmsd,observation
0.5,16.78,17.136,16.773,16.053
1.5,16.78,17.136,16.773,16.038
2.5,16.78,17.136,16.773,15.992
3.5,16.78,17.136,16.773,15.929
4.5,16.78,17.136,16.773,15.821
5.5,16.78,17.136,16.773,15.753
6.5,16.78,15.684,15.815,15.691
7.5,16.78,13.349,14.417,15.613
8.5,15.784,11.836,13.281,15.453
9.5,14.131,10.645,12.26,14.939
10.5,13.194,9.703,11.368,14.466
11.5,12.392,8.954,10.602,13.83
12.5,11.699,8.353,9.947,11.403
13.5,11.099,7.867,9.39,9.111
14.5,10.578,7.468,8.913,8.363
15.5,10.126,7.138,8.505,7.901
16.5,9.733,6.862,8.154,7.337
17.5,9.389,6.628,7.851,6.93
18.5,9.088,6.429,7.586,6.675
19.5,8.823,6.246,7.355,6.433
20.5,8.59,6.074,7.15,6.096
21.5,8.382,5.912,6.97,5.837
22.5,8.198,5.761,6.807,5.628
23.5,8.033,5.62,6.651,5.505
24.5,7.885,5.489,6.503,5.337
25.5,7.751,5.369,6.361,5.195
26.5,7.627,5.257,6.226,5.086
27.5,7.508,5.154,6.098,5.016
28.5,7.395,5.06,5.977,4.996
29.5,7.287,4.974,5.862,4.926
30.5,7.185,4.896,5.755,4.903
31.5,7.088,4.824,5.653,4.885
