,default,min_abs_bias,min_rmsd,observation
0.5,20.238,21.293,21.161,20.317
1.5,20.238,21.293,21.161,19.388
2.5,20.238,20.998,20.786,18.917
3.5,20.238,20.107,19.845,17.672
4.5,19.74,19.741,18.923,14.43
5.5,19.147,15.609,14.614,10.587
6.5,18.969,10.914,11.498,7.961
7.5,18.828,6.965,9.362,6.838
8.5,18.687,5.563,7.936,6.383
9.5,18.503,4.99,6.99,6.133
10.5,18.207,4.628,6.352,5.948
11.5,17.608,4.376,5.911,5.845
12.5,16.673,4.214,5.596,5.758
13.5,15.92,4.117,5.334,5.674
14.5,15.322,4.063,5.101,5.565
15.5,14.842,4.033,4.899,5.476
16.5,14.45,4.017,4.725,5.403
17.5,14.125,4.009,4.579,5.335
18.5,13.852,4.005,4.457,5.275
19.5,13.62,4.002,4.357,5.213
20.5,13.422,4.001,4.276,5.172
21.5,13.251,4.001,4.211,5.146
