,default,min_abs_bias,min_rmsd,observation
0.5,19.505,19.584,19.388,18.906
1.5,19.505,19.584,19.388,18.506
2.5,19.505,19.584,19.375,17.569
3.5,19.505,19.532,19.057,17.093
4.5,19.505,19.341,18.152,16.681
5.5,19.505,18.785,16.345,16.361
6.5,19.505,13.91,14.918,16.156
7.5,19.493,12.259,13.778,15.018
8.5,19.387,11.339,12.866,12.513
9.5,19.385,10.662,12.131,11.399
10.5,19.383,10.069,11.535,10.927
11.5,19.38,9.497,11.05,10.636
12.5,19.377,8.935,10.655,10.484
13.5,19.37,8.401,10.334,10.34
14.5,19.357,7.922,10.074,10.295
