id,lakename,p1_default,p2_default,p1_min_rmsd,p2_min_rmsd,p1_min_abs_bias,p2_min_abs_bias,min_rmsd,min_abs_bias
214,Harasjøen,0.0153016839176,0.696993172169,0.0015301683452,0.174248293042,0.0015301683452,0.174248293042,2.57755041122,2.52466654778
10000,Hurdalsjøen,0.0498618260026,0.999946892262,0.018053419888,0.249986723065,0.018053419888,0.353435009718,1.24471402168,0.00905555579811
10001,Harestuvatnet,0.0103499246761,0.447885602713,0.0118845691904,0.111971400678,0.00103499251418,0.111971400678,2.20821523666,0.0294166672975
394,Vatsvatnet,0.0108948722482,0.478476017714,0.0217897444963,0.119619004428,0.00323089328595,0.197205215693,0.658062338829,0.00088235293515
191,Rødbyvatnet,0.00767186889425,0.293901115656,0.00579358357936,0.073475278914,0.00126982654911,0.0993373468518,0.63972312212,0.0256666671485
3017,Sør-Ælgen,0.0328108333051,0.990552425385,0.0204784851521,0.247638106346,0.0204784851521,0.454534649849,0.50519067049,0.000709677406121
258,Gjønvatnet,0.0127910878509,0.579789698124,0.00127910880838,0.144947424531,0.00127910880838,0.144947424531,2.58852934837,1.31016671658
2870,Visten,0.0491945035756,0.99993288517,0.00491945026442,0.249983221292,0.00491945026442,0.249983221292,3.12960672379,2.77489995956
498,Dagarn,0.00940862018615,0.394075572491,0.000940861995332,0.0985188931227,0.000940861995332,0.0985188931227,1.34458422661,0.937399983406
3189,Dragsjøn,0.00865939818323,0.35079061985,0.000865939771757,0.0876976549625,0.000865939771757,0.0876976549625,2.89801192284,2.77999997139
395,Vostervatnet,0.012210640125,0.549771487713,0.0100211454555,0.137442871928,0.00202107150108,0.163304939866,1.07891106606,0.00589285697788
277,Engsetdalsvatnet/Fyllingsvatnet,0.0161859504879,0.732864677906,0.00161859497894,0.90735411644,0.0313114412129,0.90735411644,9.74071788788,9.74066638947
252,Vermundsjøen,0.0138708390296,0.632855594158,0.00683975825086,0.15821389854,0.00411342130974,0.235800102353,2.69855928421,0.1209166646
339,Ringsjøen,0.00789162050933,0.306497186422,0.0157832410187,0.257658779621,0.00234027369879,0.15421050787,2.24469351768,0.00105555553455
236,Rokossjøen,0.0148441679776,0.677289605141,0.00829225964844,0.169322401285,0.00342951458879,0.221046537161,1.81307959557,0.0233750008047
3165,Bæsingen,0.0293561834842,0.978116035461,0.0298623237759,0.244529008865,0.0202456433326,0.477287620306,0.755463898182,0.00300000002608
3160,Skattungen,0.0372583903372,0.997120082378,0.0232543740422,0.249280020595,0.0086079724133,0.301004171371,1.05867004395,0.00530769210309
170,Gjersjøen,0.0121591407806,0.547061979771,0.008385614492,0.136765494943,0.00440244749188,0.240213766694,0.63911896944,0.0034736841917
3384,Hinsen,0.02825602144,0.971844136715,0.00282560195774,0.242961034179,0.00282560195774,0.242961034179,1.52625465393,0.838444471359
2887,Tisjøn,0.0447526089847,0.999700963497,0.0337959378958,0.249925240874,0.0367280058563,0.534408032894,1.08582925797,0.0101764705032
3029,Ørlingen,0.00852386187762,0.342953175306,0.00141084613279,0.0857382938266,0.00085238617612,0.0857382938266,1.04529380798,0.166444450617
345,Trevatna,0.016994163394,0.763072252274,0.0117201125249,0.190768063068,0.00281282700598,0.216630131006,2.07532954216,0.0241176467389
3027,Nætsjøn,0.0128652760759,0.583554625511,0.00297232228331,0.145888656378,0.00128652760759,0.145888656378,1.40599393845,0.144999995828
3106,Långbjørken,0.00940862018615,0.394075572491,0.000940861995332,0.0985188931227,0.000940861995332,0.0985188931227,1.17688751221,1.13575005531
3516,Holmsjøn,0.0636433511972,0.999999761581,0.00636433484033,0.249999940395,0.00636433484033,0.249999940395,1.67896413803,1.61471426487
3020,Ljusnaren,0.0250539723784,0.94386523962,0.0172786023468,0.235966309905,0.0189200695604,0.494587004185,1.22345709801,0.00258823530748
344,Strondavatnet,0.0301478486508,0.981830298901,0.0306676384062,0.245457574725,0.0148660074919,0.400629997253,1.33683443069,0.00121875002515
