,default,min_abs_bias,min_rmsd,observation
0.5,17.534,17.668,17.417,16.533
1.5,17.534,17.668,17.417,16.484
2.5,17.534,17.668,17.417,16.426
3.5,17.534,17.668,17.417,16.354
4.5,17.534,17.668,16.604,16.283
5.5,17.534,14.197,14.576,15.399
6.5,17.534,11.645,13.59,14.526
7.5,17.534,10.951,12.805,13.869
8.5,17.534,10.488,12.16,11.964
9.5,17.534,10.109,11.624,11.071
10.5,17.534,9.741,11.173,10.732
11.5,17.534,9.322,10.79,10.659
12.5,17.534,8.797,10.463,10.574
13.5,17.534,8.164,10.184,10.45
14.5,17.534,7.524,9.945,10.222
15.5,17.534,6.991,9.743,10.031
16.5,17.534,6.594,9.572,9.675
