,default,min_abs_bias,min_rmsd,observation
0.5,20.728,22.019,21.72,19.348
1.5,20.728,22.019,21.72,17.566
2.5,20.728,21.151,19.763,16.948
3.5,20.067,19.654,16.473,15.855
4.5,18.864,14.758,13.349,13.966
5.5,18.363,10.021,11.074,11.396
6.5,17.761,7.745,9.509,8.531
7.5,16.788,6.508,8.426,7.204
8.5,15.671,5.803,7.657,6.574
9.5,14.704,5.379,7.094,6.377
10.5,13.905,5.069,6.67,6.318
11.5,13.251,4.81,6.341,6.251
12.5,12.713,4.599,6.08,6.154
13.5,12.265,4.433,5.858,6.008
14.5,11.889,4.306,5.653,5.772
15.5,11.571,4.211,5.464,5.544
16.5,11.299,4.142,5.292,5.405
17.5,11.065,4.094,5.135,5.334
18.5,10.863,4.061,4.993,5.239
19.5,10.688,4.038,4.866,5.148
20.5,10.535,4.024,4.753,5.095
21.5,10.402,4.014,4.652,5.051
22.5,10.286,4.009,4.563,5.102
23.5,10.185,4.005,4.485,5.074
