,default,min_abs_bias,min_rmsd,observation
0.5,21.632,22.352,22.31,22.404
1.5,21.632,22.352,22.31,22.031
2.5,21.632,22.352,22.31,20.609
3.5,21.632,22.151,22.042,18.95
4.5,21.251,20.741,20.309,16.696
5.5,20.872,15.994,15.548,13.646
6.5,20.537,9.878,11.062,9.198
7.5,20.082,7.521,8.672,7.141
8.5,19.549,6.364,7.302,6.121
9.5,19.016,5.717,6.471,5.865
10.5,18.407,5.327,5.94,5.745
11.5,17.692,5.032,5.585,5.672
12.5,16.978,4.799,5.311,5.567
13.5,16.335,4.625,5.077,5.476
14.5,15.788,4.498,4.882,5.429
15.5,15.333,4.407,4.725,5.348
16.5,14.959,4.342,4.6,5.317
17.5,14.653,4.296,4.502,5.303
18.5,14.402,4.264,4.427,5.305
19.5,14.199,4.241,4.369,5.304
20.5,14.034,4.226,4.326,5.307
