,default,min_abs_bias,min_rmsd,observation
0.5,17.695,18.428,18.316,16.891
1.5,17.695,18.428,18.316,15.816
2.5,17.695,18.428,18.316,14.304
3.5,17.695,18.383,18.208,13.442
4.5,17.685,18.147,17.758,13.012
5.5,17.456,17.107,16.531,12.379
6.5,17.094,14.928,14.801,11.079
7.5,16.673,13.399,13.144,10.104
8.5,16.14,11.274,11.639,9.242
9.5,15.59,8.805,10.321,8.574
10.5,15.067,7.48,9.224,8.06
11.5,14.582,6.704,8.347,7.581
12.5,14.136,6.186,7.659,7.236
13.5,13.732,5.81,7.124,6.705
14.5,13.371,5.524,6.705,6.379
15.5,13.053,5.28,6.374,6.295
16.5,12.775,5.081,6.109,6.173
17.5,12.534,4.924,5.887,6.05
18.5,12.327,4.801,5.683,5.993
19.5,12.149,4.705,5.499,5.911
20.5,11.997,4.631,5.336,5.885
21.5,11.867,4.574,5.191,5.871
22.5,11.756,4.53,5.066,5.884
23.5,11.662,4.496,4.957,5.87
24.5,11.581,4.47,4.865,5.834
