,default,min_abs_bias,min_rmsd,observation
0.5,19.435,19.774,19.666,17.476
1.5,19.435,19.774,19.666,17.758
2.5,19.435,19.774,19.666,17.218
3.5,19.435,19.627,19.593,17.069
4.5,19.435,19.446,19.381,16.902
5.5,19.357,17.771,19.239,16.705
6.5,19.226,13.105,16.122,16.401
7.5,19.19,11.301,13.33,15.905
8.5,19.129,10.036,11.989,14.699
9.5,19.016,8.976,11.04,12.506
10.5,18.075,8.081,10.259,10.478
11.5,16.88,7.362,9.573,9.037
12.5,16.116,6.807,8.962,7.794
13.5,15.559,6.386,8.423,6.941
14.5,15.137,6.066,7.958,6.603
15.5,14.805,5.819,7.564,6.388
16.5,14.54,5.599,7.235,6.292
17.5,14.325,5.402,6.963,6.069
