,default,min_abs_bias,min_rmsd,observation
0.5,20.547,21.125,21.216,20.137
1.5,20.547,21.125,21.216,19.064
2.5,20.547,21.125,20.868,18.922
3.5,20.421,20.15,19.92,18.506
4.5,19.449,19.615,19.018,17.621
5.5,19.094,18.843,16.879,15.939
6.5,18.679,16.822,14.662,12.889
7.5,18.127,14.631,12.822,11.106
8.5,17.043,12.947,11.367,9.982
9.5,15.854,11.649,10.23,9.266
10.5,14.855,10.628,9.339,8.837
11.5,14.035,9.805,8.633,8.486
12.5,13.364,9.13,8.067,8.113
13.5,12.813,8.57,7.61,7.538
14.5,12.354,8.101,7.234,7.12
15.5,11.97,7.704,6.923,6.889
16.5,11.644,7.366,6.662,6.644
17.5,11.366,7.077,6.441,6.483
18.5,11.126,6.827,6.246,6.391
19.5,10.919,6.611,6.063,6.268
20.5,10.738,6.422,5.889,6.189
21.5,10.58,6.243,5.727,6.108
22.5,10.441,6.073,5.575,6.052
23.5,10.319,5.911,5.433,5.997
24.5,10.21,5.759,5.302,5.958
25.5,10.114,5.616,5.18,5.917
26.5,10.028,5.482,5.069,5.893
27.5,9.95,5.357,4.966,5.838
