,default,min_abs_bias,min_rmsd,observation
0.5,21.69,22.42,22.311,21.173
1.5,21.69,22.42,22.311,20.456
2.5,21.69,22.371,22.193,19.331
3.5,21.467,20.779,20.515,18.136
4.5,20.636,18.776,18.54,17.502
5.5,20.19,15.024,15.766,16.803
6.5,19.65,11.794,13.075,14.281
7.5,19.24,9.861,11.229,11.634
8.5,18.866,8.564,9.942,9.593
9.5,18.463,7.642,9.005,8.075
10.5,17.972,6.972,8.299,7.364
11.5,17.37,6.479,7.755,7.055
12.5,16.758,6.11,7.329,6.788
13.5,16.208,5.829,6.991,6.555
14.5,15.743,5.59,6.719,6.401
15.5,15.364,5.373,6.499,6.375
16.5,15.058,5.179,6.313,6.314
