,default,min_abs_bias,min_rmsd,observation
0.5,20.671,21.053,20.709,20.549
1.5,20.671,21.053,20.709,20.499
2.5,20.671,21.053,20.709,20.3
3.5,20.671,21.053,20.709,19.236
4.5,20.671,21.053,19.389,18.121
5.5,20.671,16.82,15.42,16.228
6.5,20.671,12.318,12.609,13.753
7.5,20.671,9.718,10.596,11.418
8.5,20.072,8.056,9.189,9.531
9.5,18.1,7.004,8.195,7.578
10.5,17.339,6.326,7.479,6.875
11.5,16.655,5.873,6.951,6.405
12.5,16.052,5.56,6.551,6.173
13.5,15.529,5.302,6.241,5.965
14.5,15.08,5.078,5.995,5.754
15.5,14.698,4.889,5.779,5.608
16.5,14.373,4.733,5.579,5.561
17.5,14.097,4.606,5.397,5.467
18.5,13.864,4.505,5.233,5.408
