,default,min_abs_bias,min_rmsd,observation
0.5,19.675,20.418,20.256,17.862
1.5,19.675,19.923,19.661,16.045
2.5,18.701,18.82,18.622,15.252
3.5,18.335,18.456,17.95,13.96
4.5,18.145,17.879,16.313,12.739
5.5,18.016,13.072,13.392,11.243
6.5,17.875,9.856,11.419,10.532
7.5,17.761,8.275,10.066,9.691
8.5,17.609,7.291,9.106,8.882
9.5,17.346,6.626,8.402,8.315
10.5,16.656,6.158,7.873,7.913
11.5,15.606,5.817,7.466,7.623
12.5,14.853,5.553,7.147,7.42
13.5,14.293,5.315,6.893,7.276
14.5,13.872,5.103,6.688,7.2
15.5,13.551,4.919,6.515,7.185
16.5,13.304,4.76,6.357,7.139
