,default,min_abs_bias,min_rmsd,observation
0.5,17.833,18.799,18.314,14.922
1.5,17.833,18.799,18.314,14.765
2.5,17.833,18.687,18.038,14.696
3.5,17.722,18.479,17.651,14.645
4.5,17.339,17.874,16.641,14.537
5.5,17.147,13.157,15.026,14.389
6.5,16.87,10.474,13.408,14.182
7.5,15.982,8.722,11.978,13.921
8.5,14.844,7.525,10.783,13.407
9.5,13.87,6.683,9.809,12.305
10.5,13.049,6.076,9.021,9.696
11.5,12.36,5.634,8.383,8.677
12.5,11.777,5.306,7.864,8.216
13.5,11.282,5.022,7.439,7.602
14.5,10.859,4.784,7.088,6.978
15.5,10.495,4.593,6.796,6.393
16.5,10.18,4.445,6.549,5.897
17.5,9.906,4.331,6.34,5.533
18.5,9.668,4.246,6.149,5.334
19.5,9.46,4.182,5.969,5.175
20.5,9.277,4.134,5.8,5.047
21.5,9.117,4.099,5.643,4.936
22.5,8.975,4.073,5.497,4.84
23.5,8.851,4.054,5.362,4.817
24.5,8.741,4.04,5.238,4.809
