,default,min_abs_bias,min_rmsd,observation
0.5,21.075,21.585,21.598,21.584
1.5,21.075,21.585,21.598,20.988
2.5,21.075,21.585,21.598,19.967
3.5,21.075,21.362,20.742,19.308
4.5,20.484,20.09,18.755,18.255
5.5,19.702,18.58,16.678,16.301
6.5,18.998,16.808,14.565,13.969
7.5,18.144,14.867,12.795,12.096
8.5,17.218,13.227,11.402,10.938
9.5,16.208,11.94,10.314,9.82
10.5,15.229,10.932,9.458,8.949
11.5,14.356,10.127,8.777,8.569
12.5,13.61,9.473,8.227,7.955
13.5,12.983,8.93,7.777,7.523
14.5,12.457,8.474,7.405,7.345
15.5,12.015,8.087,7.094,7.208
16.5,11.639,7.754,6.83,6.891
17.5,11.319,7.467,6.605,6.624
18.5,11.043,7.216,6.41,6.426
19.5,10.805,6.997,6.228,6.213
20.5,10.596,6.803,6.056,5.994
21.5,10.414,6.631,5.893,5.765
22.5,10.253,6.466,5.739,5.631
23.5,10.111,6.309,5.595,5.556
24.5,9.985,6.16,5.46,5.511
25.5,9.873,6.018,5.334,5.433
26.5,9.773,5.884,5.217,5.4
27.5,9.683,5.757,5.108,5.384
28.5,9.6,5.638,5.009,5.356
29.5,9.521,5.527,4.917,5.338
30.5,9.448,5.424,4.832,5.293
