,default,min_abs_bias,min_rmsd,observation
0.5,17.53,18.823,18.723,18.532
1.5,17.53,18.823,18.723,18.333
2.5,17.53,18.823,18.723,18.284
3.5,17.53,18.823,18.723,18.203
4.5,17.53,18.823,18.723,17.762
5.5,17.53,18.823,18.723,15.599
6.5,17.53,18.778,18.547,12.461
7.5,17.53,14.296,14.713,10.359
8.5,17.53,11.468,12.012,8.319
9.5,17.387,10.642,10.685,7.056
10.5,17.264,9.962,9.663,6.418
11.5,17.154,9.161,8.758,5.946
12.5,16.684,8.088,7.936,5.747
13.5,14.558,6.853,7.223,5.625
14.5,13.374,5.925,6.641,5.511
15.5,12.558,5.394,6.188,5.455
16.5,11.957,5.068,5.843,5.397
17.5,11.493,4.816,5.58,5.322
18.5,11.12,4.632,5.343,5.262
19.5,10.812,4.5,5.134,5.215
20.5,10.552,4.407,4.953,5.151
21.5,10.329,4.34,4.798,5.107
22.5,10.136,4.29,4.668,5.062
23.5,9.968,4.252,4.561,5.004
24.5,9.821,4.222,4.473,4.953
25.5,9.69,4.198,4.402,4.893
26.5,9.575,4.181,4.345,4.854
27.5,9.472,4.168,4.3,4.799
28.5,9.379,4.16,4.265,4.753
29.5,9.293,4.154,4.237,4.698
30.5,9.212,4.15,4.216,4.659
31.5,9.135,4.148,4.199,4.632
32.5,9.063,4.147,4.186,4.619
33.5,8.995,4.146,4.176,4.569
34.5,8.932,4.146,4.168,4.536
35.5,8.873,4.145,4.162,4.506
36.5,8.818,4.145,4.158,4.456
37.5,8.767,4.145,4.155,4.434
38.5,8.719,4.145,4.152,4.43
39.5,8.675,4.145,4.15,4.394
