"","Id","vannlnr","vannlnr2","x","y","var1.pred","var1.var"
"0",0,3562,3562,309214.332276627,6554981.8925822,789.769552462766,6496.52013994878
"1",0,3608,3608,303434.539457896,6544832.79636351,798.563453486678,6078.98936259609
"2",0,316,316,307167.149921201,6610542.25409258,698.488207035657,1452.22084762601
"3",0,133,133,290413.957933475,6573965.6658198,755.804953372575,4560.32171367041
"4",0,3494,3494,311326.667525845,6572062.70388157,784.816123128972,5231.05777775736
"5",0,3454,3454,314467.369543801,6578853.66858654,787.799558785448,3409.30835941367
"6",0,3344,3344,311389.783871719,6612950.95160762,703.709979672476,6446.60371033833
"7",0,3438,3438,316405.468721229,6584571.59720618,790.00321548461,1186.21508036205
"8",0,323,323,306727.831378318,6632776.53740002,654.475847487362,2601.13306806522
"9",0,3415,3415,303978.230662263,6594664.66118202,749.295901187228,4544.9478883001
"10",0,295,295,274721.004345021,6595604.97916519,718.03621305117,5441.75110418764
"11",0,297,297,266051.682615601,6632271.10026323,657.244817538901,4342.11665853043
"12",0,5509,5509,242512.496116428,6644349.74637731,671.155151922988,4433.20102781043
"13",0,3208,3208,323256.393901034,6634253.99549367,651.676406072493,6264.83599135296
"14",0,3446,3446,296854.230484313,6580773.7697522,759.853775199335,5417.23648516894
"15",0,3268,3268,309781.677439725,6627739.09108939,662.529571592607,6519.22437620884
"16",0,3184,3184,321830.247298795,6638198.64351991,642.489391389654,5664.73221203308
"17",0,315,315,307805.923673031,6658154.49571941,607.4215612495,2999.53418130693
"18",0,3107,3107,289368.797884384,6648846.37470674,624.535288801628,5837.02987470009
"19",0,3067,3067,284223.162052303,6656702.83764614,619.826481488169,6766.1106816231
"20",0,3067,4141,288313.985395063,6686271.15943935,583.114916662229,3652.1042694125
"21",0,4404,4404,307218.809652351,6658738.13520764,606.7392847918,3932.3191507421
"22",0,4298,4298,317541.291401836,6667404.80663709,592.120168026477,3132.00992816709
"23",0,4725,4725,280920.001823188,6707095.63360002,558.687622703754,4338.71723250267
"24",0,3981,3981,285894.561318827,6706148.56241132,559.228397153342,4329.80754711113
"25",0,3943,3943,285872.65119358,6709990.30869794,554.583094806133,5114.67940458019
"26",0,141,141,277696.685049554,6705901.56136514,559.900526167411,2052.34378093303
"27",0,5505,5505,268840.805703014,6638675.5621655,648.055891769701,5601.59136771487
"28",0,5168,5168,261116.145865114,6664788.88840799,630.822231566271,4876.01178011806
"29",0,300,300,262656.573293735,6667984.81586861,624.109284277168,5030.7015953627
"30",0,4313,4313,356992.352990746,6672571.29511294,571.655975068632,3577.5674071976
"31",0,4332,4332,357592.751338286,6659991.72822027,593.472906827415,6460.0143026107
"32",0,371,371,354549.648559277,6667763.5897444,580.693469137615,6125.99273366155
"33",0,194,194,290658.504222887,6771337.41645962,476.75683085585,2876.78412840409
"34",0,4448,4448,272324.319020479,6757312.48972531,492.23818462819,4965.23191064896
"35",0,3723,33723,289316.784299804,6770079.78523691,478.734307102783,2516.78765635673
"36",0,257,257,267262.72641699,6792237.29314344,429.36038306311,4566.56542880542
"37",0,118,118,287093.402523427,6726912.83580939,534.314975848589,5366.18793168314
"38",0,3954,3954,299815.038701663,6708355.73049694,553.595011721009,5775.75424214159
"39",0,3934,3934,310848.969414118,6708675.64501064,549.66047817224,5912.29100569538
"40",0,4041,4041,304730.006269408,6712909.71513697,547.343270629655,3691.07822312902
"41",0,4119,4119,323074.007846978,6689175.24691703,565.071078090016,5894.44205418738
"42",0,4083,4083,317708.179161328,6688807.34805936,567.797406477104,6743.7588629258
"43",0,4055,4055,325628.23983143,6692281.90109122,560.444636387888,6615.89679546516
"44",0,4091,4091,317613.616151741,6686747.80919741,570.096158594609,6487.96279618518
"45",0,368,4267,327915.558792236,6668093.1307634,588.802192803702,4217.60422316676
"46",0,3921,3921,357943.567713993,6707512.76710662,521.350124298082,4693.28398884704
"47",0,3866,3866,353788.691649112,6713710.39951536,518.116476198606,4973.5056235061
"48",0,3834,3834,356255.222189266,6717029.15839915,512.261121663471,5906.92448248101
"49",0,3794,3794,363843.368844405,6719884.6586625,501.256850796836,6365.65497618507
"50",0,3661,3661,349076.676448866,6748350.32870436,495.915119780728,4929.92628314111
"51",0,3803,3803,344896.562240483,6720609.83845016,519.063674792936,6040.25822343891
"52",0,205,235,231829.655485684,6822609.14321359,349.619726202433,5311.82941397385
"53",0,237,237,319314.196865498,6724539.56555439,530.748559078736,1244.3103323473
"54",0,3640,3640,332152.506540229,6757058.77950251,495.233876344344,5023.25808569684
"55",0,3421,33421,351293.681368466,6832084.95331777,345.990038515608,2748.5134678481
"56",0,3453,33453,331034.629418219,6827915.24184126,354.562375089551,6239.09396005288
"57",0,282,282,318234.068198281,6785190.11774241,458.442171326621,4950.17624860114
"58",0,2316,32316,243664.848078997,6860727.78075556,263.16951902238,3669.44399746525
"59",0,2251,32251,267377.777179331,6866311.43553109,245.985439703106,5435.93048965834
"60",0,3733,33733,302496.602496243,6828145.34513227,347.85752652676,5499.00043977906
"61",0,3494,33494,310379.852144414,6822642.68058088,365.903588609058,6083.71625770839
"62",0,3424,33424,301944.77220569,6835261.79702413,327.348765154708,5084.57757724259
"63",0,3329,33329,299117.844514681,6860295.03666908,260.148364952917,6251.34962799992
"64",0,2262,32262,287369.952911389,6860295.73371189,260.152482144083,6229.14066970803
"65",0,1363,1363,321605.598463693,6880822.03973114,217.075980389836,2916.83307268605
"66",0,1354,1354,310211.517500666,6890192.41958069,206.400337037591,1691.76864670095
"67",0,125,125,300844.395620013,6861763.67294671,265.532227107251,1672.79661703539
"68",0,5719,35719,352274.9169262,6910946.37661895,197.55667667495,3569.67483723451
"69",0,3252,33252,345920.300079695,6874635.66880139,240.667665455381,5010.50288152387
"70",0,3273,33273,351501.144874321,6869115.14945619,255.011877307106,6252.85518772507
"71",0,1344,1344,348309.564457555,6887102.30156226,221.046250838118,5338.94096432668
"72",0,1348,1348,343113.70813582,6907648.51958984,200.678980837927,1767.5752827401
"73",0,5667,35667,307891.57400547,6917891.97790134,179.07069313418,5805.8877250715
"74",0,5827,35827,299565.232087475,6906732.26531492,185.953061361713,4117.40689692668
"75",0,4269,34269,253497.443368689,6942312.00363079,178.717786218437,1225.25461639699
"76",0,2131,32131,279189.482336953,6879776.97506691,221.611920733903,6506.24432203343
"77",0,2121,32121,250753.832926423,6882176.36087728,222.956918021189,3335.66807650881
"78",0,5401,35401,295318.011767689,6939381.23209669,169.620065554738,6667.30350988656
"79",0,286,286,265505.193741993,6795105.99932838,422.996577100173,4640.61384738739
"80",0,169,169,204290.242869669,6903407.40872772,257.089012427728,3661.61073961046
"81",0,4656,34656,156901.236459832,6925158.8561775,306.603295149632,5168.32004208962
"82",0,4676,34676,172572.705070522,6920188.28958356,295.590220872584,6416.50113604963
"83",0,4528,34528,194683.105762147,6927727.97365349,261.377906853927,6015.12862283092
"84",0,4591,34591,193606.934838764,6925068.45114948,264.301926018663,6071.32889546759
"85",0,4704,34704,196668.840227315,6916866.97878624,262.688544916309,5539.62522857183
"86",0,4811,34811,164470.4074407,6893313.99964299,312.339002345604,5677.30805923795
"87",0,234,234,198087.204640852,6923770.51327405,257.456161665908,5638.23046708008
"88",0,2062,32062,105603.521279904,6901999.86248412,322.814448944489,6444.90211347914
