"ebint","ebhex","depth","area","longitude","latitude","lonCentroid","latCentroid","lonPreData","latPreData","lonField","latField","areaPreData","areaShapefile","secchi","NVEID","NVEREGINE","SMHIID","EUCD","VDRID","COMSATID","name","date","time","altitude","lake_id"
13946620,"0xd4cefc",21,1386234,18.5216024,59.5910863,18.5216024,59.5910863,18.52145,59.59112,18.52145,59.5911166666667,1380000,1386234,6,NA,"","661084-165433","SE661084-165433","660882-165553",519,"Langen","02.08.2011","13:05",28,NA
11524147,"0xafd833",39,1091209,12.3437707,60.5013869,12.3437707,60.5013869,12.3412,60.4969,12.3412,60.4969,1090000,1091209,1.95,3866,"312.2C","","","",2252,"Rotnessjøen","30.07.2011","09:59",260,NA
5534548,"0x547354",49.5,1702116,10.5615064,60.2418436,10.5615064,60.2418436,10.59108,60.24425,10.5910833333333,60.24425,1690000,1702116,3.9,117,"002.CH","","","",2268,"Mylla","10.08.2011","12:15",496,NA
12521190,"0xbf0ee6",27.75,10684443,11.4949301,59.1499757,11.4949301,59.1499757,11.4707,59.13317,11.4707,59.1331666666667,10660000,10684443,2.1,316,"001.A7","","","",2312,"Femsjøen","29.07.2011","10:55",79,NA
10563534,"0xa12fce",52.5,10039417,17.2545319,59.1218787,17.2545319,59.1218787,17.29833,59.092,17.2983333333333,59.092,9990000,10039417,2.5,NA,"","655187-158633","SE655187-158633","653110-160070",2374,"Klämmingen","02.08.2011","11:33",9,NA
1475261,"0x1682bd",37.5,1768651,12.1102334,58.9844652,12.1102334,58.9844652,12.11388,58.97833,12.1138833333333,58.9783333333333,1760000,1768651,2.8,NA,"","654493-128700","SE654493-128700","654498-128696",2678,"Torrsjøn","29.07.2011","09:33",102,NA
8725679,"0x8524af",15,32163146,13.3799087,59.6738121,13.3799087,59.6738121,13.39677,59.62987,13.3967666666667,59.6298666666667,32030000,32163146,4.05,NA,"","661264-136508","SE661264-136508","660509-136871",2870,"Visten","03.08.2011","11:05",63,NA
6476501,"0x62d2d5",13.5,2743794,14.1312389,60.0292091,14.1312389,60.0292091,14.13738,60.03387,14.1373833333333,60.0338666666667,2730000,2743794,2.4,NA,"","665698-140769","SE665698-140769","664435-141941",2875,"Näsrämmen","03.08.2011","14:40",239,NA
1576021,"0x180c55",13.5,2756016,12.5293123,60.817513,12.5293123,60.817513,12.50752,60.82357,12.5075166666667,60.8235666666667,2740000,2756016,2,NA,"","674757-132306","SE674757-132306","673857-130971",2878,"Rangsjön","31.07.2011","09:56",490,NA
9420448,"0x8fbea0",25.5,27164788,12.9926379,60.9092962,12.9926379,60.9092962,12.96573,60.91878,12.9657333333333,60.9187833333333,27050000,27164788,2.15,NA,"","676158-134299","SE676158-134299","674494-133263",2887,"Tisjön","31.07.2011","10:59",431,NA
9189278,"0x8c379e",21,4355549,12.3204325,60.8805608,12.3204325,60.8805608,12.3111,60.86397,12.3111,60.8639666666667,5180000,4355549,1,159,"002.GCB","","","",2888,"Halsjøen","30.07.2011","17:23",299,NA
3157480,"0x302de8",12,4534255,13.2517573,60.1527098,13.2517573,60.1527098,13.27153,60.14628,13.2715333333333,60.1462833333333,4510000,4534255,2.2,NA,"","667351-135645","SE667351-135645","667425-135475",2899,"Jangen","03.08.2011","12:25",212,NA
2547359,"0x26de9f",48,15586303,14.5943017,59.7242274,14.5943017,59.7242274,14.6065,59.72432,14.6065,59.7243166666667,15540000,15586303,2.8,NA,"","662130-142921","SE662130-142921","662113-142906",3017,"Sör-älgen","04.08.2011","09:45",181,NA
2726038,"0x299896",33,18045823,14.514974,59.2938993,14.514974,59.2938993,14.53832,59.30387,14.5383166666667,59.3038666666667,17990000,18045823,1.8,NA,"","657087-142355","SE657087-142355","654513-140127",3019,"Möckeln","03.08.2011","09:48",88,NA
4089598,"0x3e66fe",30,9626466,14.9476711,59.858299,14.9476711,59.858299,14.93423,59.8792,14.9342333333333,59.8792,9600000,9626466,2,NA,"","663501-145470","SE663501-145470","663216-146069",3020,"Ljusnaren","05.08.2011","17:45",163,NA
6409213,"0x61cbfd",39,16929597,14.6046099,59.5950176,14.6046099,59.5950176,14.59643,59.63177,14.5964333333333,59.6317666666667,16880000,16929597,2.5,NA,"","660231-143376","SE660231-143376","654513-140127",3025,"Halvarsnoren","04.08.2011","10:53",165,NA
16548800,"0xfc83c0",30,2931249,14.4807063,59.8882583,14.4807063,59.8882583,14.48088,59.8913,14.4808833333333,59.8913,2920000,2931249,3.6,NA,"","664175-142498","SE664175-142498","663942-142417",3027,"Nätsjön","03.08.2011","15:40",206,NA
8154555,"0x7c6dbb",12,1401538,14.4322806,59.8723235,14.4322806,59.8723235,14.41998,59.87902,14.4199833333333,59.8790166666667,1400000,1401538,2,NA,"","663823-142444","SE663823-142444","663942-142417",3029,"Örlingen","04.08.2011","12:50",190,NA
