,sim_id,y,tsw00,tsw01,tsw02,tsw03,tsw04,tsw05,tsw06,tsw07,tsw08,tsw09,tsw10,tsw11,tsw12,pcd00,pcd01,pcd02,pcd03,pcd04,pcd05,pcd06,pcd07,pcd08,pcd09,pcd10,pcd11,pcd12,pcn00,pcn01,pcn02,pcn03,pcn04,pcn05,pcn06,pcn07,pcn08,pcn09,pcn10,pcn11,pcn12,icend,icemh,icedu,iceon,iceof,iceth
0,447758579.0,0.0,6.366749014336918,0.0,0.0,0.0,0.7888666666666666,7.374967741935484,15.099,16.007903225806448,14.597580645161292,12.147266666666669,7.706903225806452,2.6784999999999997,0.0,23.734630571669115,32.0,32.0,32.0,32.0,20.655325249229584,4.925647101012464,6.735968569552449,10.205075050463794,18.293550889771108,32.0,32.0,32.0,11.166666666666666,0.0,0.0,0.0,0.0,13.0,30.0,31.0,31.0,29.0,0.0,0.0,0.0,143.0,0.34600000000000003,143.0,334.0,112.0,0.0
1,447758579.0,1.0,5.87905,0.0,0.0,0.0,0.0,3.956774193548387,15.391266666666665,16.79290322580645,15.404516129032254,11.055133333333334,5.036483870967742,2.7351999999999994,0.1763225806451613,23.66409693631536,32.0,32.0,32.0,32.0,23.164820596597473,4.8058486598284835,5.9885962123591785,8.521628823354419,17.488268943644748,32.0,32.0,32.0,10.583333333333334,0.0,0.0,0.0,0.0,10.0,30.0,31.0,31.0,25.0,0.0,0.0,0.0,155.0,0.534,155.0,342.0,132.0,0.0
2,447758579.0,2.0,6.115614068100359,0.0,0.0,0.0,0.1153,7.615741935483871,12.614066666666668,15.879870967741933,15.723483870967744,11.888133333333334,7.74183870967742,1.8089333333333335,0.0,23.485218445609082,32.0,32.0,32.0,32.0,15.058641993499927,8.249736316168176,7.98118761913888,9.208476722347442,17.324578696154564,32.0,32.0,32.0,11.5,0.0,0.0,0.0,0.0,20.0,30.0,31.0,31.0,26.0,0.0,0.0,0.0,162.0,0.48100000000000004,162.0,321.0,118.0,0.0
3,447758579.0,3.0,5.899631989247312,0.0,0.0,0.0,0.0,2.976548387096774,13.748133333333332,17.417838709677415,14.271225806451612,12.022266666666667,8.165709677419354,1.7676999999999994,0.4261612903225806,24.613235513103245,32.0,32.0,32.0,32.0,30.838709677419356,5.542910797035644,6.379006130491595,10.5463617835953,18.05183776869699,32.0,32.0,32.0,10.166666666666666,0.0,0.0,0.0,0.0,2.0,29.0,31.0,31.0,29.0,0.0,0.0,0.0,170.0,0.696,185.0,317.0,136.0,1.0
4,447758579.0,4.0,6.659220250896056,0.0,0.0,0.0,0.0,7.9405806451612895,13.684099999999997,16.01958064516129,15.739387096774196,12.977533333333335,8.063419354838707,4.545300000000001,0.9407419354838709,23.320957266416958,32.0,32.0,32.0,32.0,16.13337769799156,6.577086487055265,7.828652060043455,10.056494808837183,15.417166465656669,31.838709677419356,32.0,32.0,11.75,0.0,0.0,0.0,0.0,18.0,30.0,31.0,31.0,30.0,1.0,0.0,0.0,143.0,0.495,143.0,349.0,127.0,0.0
5,447758579.0,5.0,6.687950268817205,0.0,0.0,0.0,0.0,5.130516129032258,17.693933333333334,16.110032258064514,15.447935483870973,14.3323,8.13341935483871,3.407266666666667,0.0,23.333698513802677,32.0,32.0,32.0,32.0,25.107310498033645,4.256670070107071,6.966733814773526,9.521485421906602,12.11225332326638,30.03992903754491,32.0,32.0,11.333333333333334,0.0,0.0,0.0,0.0,8.0,30.0,31.0,31.0,30.0,6.0,0.0,0.0,162.0,0.563,164.0,328.0,127.0,1.0
6,447758579.0,6.0,6.857256003584229,0.0,0.0,0.0,0.4981666666666667,7.38167741935484,17.395266666666664,18.5168064516129,16.42645161290323,13.497200000000001,7.546903225806453,1.0246,0.0,23.649077463926705,32.0,32.0,32.0,32.0,22.937588939491025,4.624375598799045,6.383105160049754,8.569938219818319,17.273921648962354,32.0,32.0,32.0,10.5,0.0,0.0,0.0,0.0,11.0,30.0,31.0,31.0,23.0,0.0,0.0,0.0,160.0,0.551,160.0,321.0,116.0,0.0
7,447758579.0,7.0,6.049452867383511,0.0,0.0,0.0,0.0,6.044677419354839,14.53303333333333,17.12487096774193,14.420580645161293,11.579366666666669,6.525838709677421,2.3650666666666664,0.0,24.169146610720258,32.0,32.0,32.0,32.0,21.469843145707358,5.0678737178996265,6.490355140553714,10.63829449204012,22.363392832442223,32.0,32.0,32.0,10.0,0.0,0.0,0.0,0.0,12.0,30.0,31.0,31.0,16.0,0.0,0.0,0.0,161.0,0.494,161.0,327.0,122.0,0.0
8,447758579.0,8.0,6.78460564516129,0.0,0.0,0.0,0.0,4.180709677419355,19.47776666666666,18.205612903225806,14.720258064516132,12.648166666666668,8.833741935483872,2.9313666666666673,0.41764516129032253,23.54752685903088,32.0,32.0,32.0,32.0,26.4209624313737,3.366436866904971,5.6591409223664035,9.495706283001708,14.831352518964923,30.79672328575887,32.0,32.0,11.083333333333334,0.0,0.0,0.0,0.0,6.0,30.0,31.0,31.0,30.0,5.0,0.0,0.0,151.0,0.727,151.0,343.0,129.0,0.0
9,447758579.0,9.0,6.438029659498208,0.0,0.0,0.0,0.8016,10.531967741935484,12.526333333333332,15.272225806451614,15.018774193548383,12.459699999999998,8.666354838709678,1.9794000000000003,0.0,23.642786994186213,32.0,32.0,32.0,32.0,10.86716639420376,9.050672216708653,9.006889458106055,11.013423775632152,19.775292085583956,32.0,32.0,32.0,12.0,0.0,0.0,0.0,0.0,24.0,30.0,31.0,31.0,28.0,0.0,0.0,0.0,150.0,0.348,150.0,327.0,112.0,0.0
