,mm,y0,y1,ebint,d0mean,d1mean,d2mean,d3mean,d4mean,d5mean,d6mean,d7mean,d8mean,d9mean,d0std,d1std,d2std,d3std,d4std,d5std,d6std,d7std,d8std,d9std
6897,27,2061,2070,3587103,17.8936228261,17.8685108696,17.6292,17.1274119565,16.2615673913,15.271173913,13.9950684783,12.7315782609,11.6390717391,10.7019195652,2.57481149888,2.56699136331,2.51455563133,2.3982868407,2.16457135856,2.32493381753,2.47196084047,2.47383743535,2.34680712629,2.19332563439
6898,26,2031,2040,3587103,16.8355630435,16.8048684783,16.5249521739,15.9033597826,15.1003804348,14.292773913,13.4004880435,12.3953543478,11.4254380435,10.5316728261,2.79281039111,2.77301088806,2.64833900147,2.41703775704,2.21539194695,2.32414941652,2.47738755217,2.49451114457,2.4039309507,2.30458146871
6899,22,2001,2010,3587103,15.6181423913,15.5864108696,15.2732054348,14.7574663043,14.107725,13.3039413043,12.358026087,11.4933097826,10.6164152174,9.78204673913,2.30790045771,2.29222528425,2.15187958334,2.06707377894,2.20303986624,2.33149704783,2.55824790793,2.73028143266,2.66275133863,2.43960985638
6900,28,2091,2100,6173546,19.6196065217,19.4307184783,18.5787717391,16.3594945652,11.5553586957,8.67672173913,7.38223913043,6.68676086957,6.26857173913,5.99034891304,2.13787546335,2.03140388643,1.74727118881,1.98408085466,1.99111085722,1.06817779346,0.721754309542,0.56327605529,0.486980015661,0.457973172303
6901,27,2061,2070,6173546,18.6241304348,18.4275684783,17.620998913,15.5114336957,11.5799282609,8.86707282609,7.3957923913,6.62705108696,6.16178804348,5.84672934783,2.50889288936,2.42548754389,2.13343104478,1.97864113634,1.97303410823,1.44184805173,1.01441222621,0.866791864049,0.792288545928,0.757458445484
6902,26,2031,2040,6173546,17.5587554348,17.3393434783,16.3155978261,14.517873913,11.1599076087,8.31450434783,6.93425978261,6.23968804348,5.82586521739,5.54452608696,2.74129130235,2.63286083444,2.03562819311,1.87961984771,2.23817287161,1.44165512123,0.895149806559,0.712677974235,0.635268963873,0.604551859109
6903,22,2001,2010,6173546,16.4870423913,16.3063086957,15.5530391304,14.0454119565,11.187525,8.4627173913,7.13917282609,6.47079891304,6.07565108696,5.81210543478,2.28794909976,2.18927454417,1.80206314617,1.82799866389,2.01587391586,1.23201733085,0.841900183487,0.73351809838,0.698807128334,0.696189792495
6904,28,2091,2100,747040,19.4711141304,19.4187967391,19.0445108696,18.2605173913,16.9580826087,15.0325706522,12.6191815217,10.6895673913,9.5715673913,8.908225,2.04626124232,2.01393824769,1.83811338911,1.68749686937,1.89118111695,2.42882329669,2.39124610607,1.75321989612,1.37010976496,1.17997158651
6905,27,2061,2070,747040,18.5228695652,18.4686054348,18.0712467391,17.3002793478,16.1153152174,14.2995228261,12.2219815217,10.7041630435,9.71829021739,9.04452608696,2.48584344578,2.44608165752,2.24357165678,1.93385854325,1.84828684982,2.1472150213,2.07400534591,1.80058753667,1.5429873684,1.27042682818
6906,26,2031,2040,747040,17.5863565217,17.5262641304,17.0521228261,16.1633532609,15.0978880435,13.8610108696,12.172676087,10.5135695652,9.30458586957,8.57429673913,2.6657611956,2.64362714295,2.34624915794,1.9751869575,1.95691079792,2.20699302764,2.32587392715,2.11016445722,1.7133441002,1.4848053521
6907,22,2001,2010,747040,16.379025,16.3366478261,15.9609184783,15.2629423913,14.3299152174,13.2812369565,11.9606478261,10.6077804348,9.5554326087,8.84972826087,2.19884212196,2.16251122357,1.95193970625,1.72431238821,1.85306622568,2.16870875428,2.19245468583,1.96401161426,1.63681889649,1.35470233233
6908,28,2091,2100,12067544,19.4497173913,19.3654358696,18.8842391304,17.9268108696,16.162375,13.646075,11.1081402174,9.59082934783,8.71154456522,8.15381304348,2.10594094579,2.03237950139,1.78938449773,1.62963997209,2.11261623889,2.37676533872,1.81576180259,1.32036184913,1.08716640509,0.959568960316
6909,27,2061,2070,12067544,18.4666467391,18.3910380435,17.8939978261,16.9761391304,15.4101869565,12.843073913,10.7648206522,9.42085217391,8.53030108696,7.97613369565,2.54703907855,2.4966775746,2.28097044998,1.90111899761,1.88073521435,2.13283765241,1.76503225314,1.38810854074,1.02939305231,0.889900647678
6910,26,2031,2040,12067544,17.5635054348,17.4888413043,16.901651087,15.8822282609,14.4982108696,12.7901586957,10.5829119565,8.98209347826,8.05909347826,7.50457934783,2.64460636851,2.61507120575,2.29790735027,1.9806112899,2.01598472095,2.27903244815,2.02449263432,1.51196990026,1.19643840337,1.06432426324
6911,22,2001,2010,12067544,16.3951521739,16.3267054348,15.8972478261,15.0086173913,13.8585652174,12.4414184783,10.618875,9.22752282609,8.33155108696,7.80150869565,2.21777267681,2.16486182255,1.93959620824,1.72939724048,1.96166071526,2.19174817111,1.96758165849,1.58159130672,1.25462509198,1.11836116397
6912,28,2091,2100,4099084,19.3076978261,19.193198913,18.4395521739,16.0973021739,12.3937554348,9.57904782609,8.02773478261,7.16884565217,6.64554021739,6.30256630435,2.16263720089,2.12940121307,1.99074268038,2.27882977863,2.41012242113,1.70917757934,1.21471748006,0.993989488608,0.876163100442,0.817636428774
6913,27,2061,2070,4099084,17.8386315217,17.7123586957,16.9589836957,15.0356728261,12.1571858696,9.61862173913,8.01715869565,7.07115,6.48588804348,6.11480108696,2.75139460218,2.70505213859,2.5403541057,2.15739853582,2.33587336977,2.00881892507,1.47146545832,1.12191964419,0.930207015623,0.8424242859
6914,26,2031,2040,4099084,16.8038119565,16.626573913,15.5444,13.5693271739,11.1353576087,8.99042608696,7.46672391304,6.61387717391,6.10623043478,5.7758673913,3.03629017318,2.9754199314,2.7086863591,2.59519857332,2.57408255973,2.06851206004,1.43507597471,1.07843191644,0.89457727669,0.793049820135
6915,22,2001,2010,4099084,15.6084467391,15.4565815217,14.608148913,13.1714347826,11.166073913,8.91326195652,7.46756847826,6.61282065217,6.13650108696,5.83344130435,2.48216171787,2.40141491614,2.12867100529,2.31899840066,2.52512388883,2.16407074094,1.63659617962,1.19629345291,1.01741610675,0.934414823795
6916,28,2091,2100,6332747,16.1999228261,16.1423891304,15.7020663043,14.8549717391,13.6138271739,11.9098195652,10.3723717391,9.16037173913,8.25018913043,7.67219782609,2.4572414139,2.41403083072,2.25412214225,2.32256353276,2.59088063591,2.6870190278,2.66726584277,2.37790224686,2.03207335412,1.80039048297
6917,27,2061,2070,6332747,14.7193271739,14.6650402174,14.2743021739,13.5750945652,12.688151087,11.6873108696,10.6583728261,9.59551630435,8.8455673913,8.30477282609,3.24061398294,3.20682544755,3.04824974058,2.90360056561,2.78995090889,2.7207461182,2.60110917438,2.28409377761,2.02560859883,1.79247772769
6918,26,2031,2040,6332747,12.6611608696,12.6729967391,12.2115717391,11.3867217391,10.5932195652,9.86104021739,9.18559347826,8.49271195652,7.93219021739,7.45023586957,4.26960010591,4.07743581772,3.79589648995,3.56036225504,3.33066103254,3.16535598692,3.03032419429,2.74730984468,2.54259268551,2.32518800013
6919,22,2001,2010,6332747,11.0787902174,11.100573913,10.8358913043,10.4113597826,9.92024673913,9.41097391304,8.89957826087,8.43464130435,7.99685108696,7.56764782609,4.00885324719,3.78675155675,3.61269686236,3.38972008466,3.17141980043,3.01114136668,2.84007895689,2.73826119256,2.59950488393,2.45345428002
6920,28,2091,2100,9339720,15.279001087,15.1984358696,14.7143978261,13.9611228261,12.7801858696,11.3977086957,10.2291456522,9.15021630435,8.32543586957,7.80343043478,2.8951678144,2.83953867083,2.72652146031,2.72050390205,2.74248507697,2.78292260867,2.63206336691,2.37197862842,2.11720692325,1.98800638092
6921,27,2061,2070,9339720,13.3487684783,13.2517913043,12.6812695652,11.8962423913,11.1019543478,10.2501228261,9.26052065217,8.45908152174,7.77289782609,7.31383804348,4.1743926762,3.98547332489,3.72596530367,3.51687074944,3.34032502281,3.13573156772,2.82893554261,2.51451294104,2.22009751876,2.02487709883
6922,26,2031,2040,9339720,10.5947413043,10.6789195652,10.2667282609,9.51503152174,8.77534021739,8.17010434783,7.64862391304,7.18494782609,6.82198152174,6.52583478261,5.27055258601,4.94959838756,4.62409058201,4.19274052526,3.71097337223,3.36212539875,3.05367213927,2.77530881723,2.5869775384,2.43544369247
6923,22,2001,2010,9339720,8.9864,9.12614565217,8.83912934783,8.43940217391,7.95095326087,7.46326521739,7.01689347826,6.64732826087,6.37028695652,6.1670673913,5.03115244207,4.60894821564,4.27900829704,3.94646886713,3.62234654001,3.26715551866,2.91682854244,2.6580927,2.4505536001,2.28191587837
6924,28,2091,2100,15174343,14.7462684783,14.3104456522,12.7066315217,9.934525,7.35589782609,6.01847065217,5.42174565217,5.0746423913,4.83943695652,4.67744456522,2.74494125208,2.60038380177,2.71750249308,2.72635995662,1.89339869967,1.14931067442,0.87168794798,0.700867559189,0.593160671765,0.547038513377
6925,27,2061,2070,15174343,12.718001087,12.2874380435,10.8449923913,8.6881923913,6.67953043478,5.53127065217,5.00543369565,4.66621413043,4.44001521739,4.29951847826,4.19475865129,3.73361106502,3.38526439208,2.89259919432,2.08211635896,1.35017556897,1.0166662679,0.747235579106,0.576791306165,0.47507104066
6926,26,2031,2040,15174343,9.97456304348,9.74402826087,8.51574456522,7.1169673913,5.91204021739,5.16834347826,4.7227173913,4.47202717391,4.25627065217,4.15058478261,5.27898654236,4.65103717022,3.85084560799,3.08932818426,2.40527761254,1.8684701782,1.46139376008,1.1944403046,0.874476082918,0.730166874205
6927,22,2001,2010,15174343,8.90125869565,8.84791413043,8.00516847826,6.90167282609,5.9053673913,5.15817608696,4.7247,4.50073478261,4.34525326087,4.25748043478,5.14734327921,4.47304903378,3.7029936404,2.94404068935,2.2981411824,1.71750161486,1.3228741417,1.07927181618,0.898914279218,0.789404709288
6928,28,2091,2100,593863,19.1619043478,19.0613597826,18.5205967391,17.3284586957,15.1478554348,12.1675543478,9.82318369565,8.59251195652,7.87242934783,7.41773478261,2.12602953197,2.03356480256,1.79398839296,1.68700475228,2.28303089779,2.21861517633,1.47473562373,1.11914697223,0.946982671429,0.860418427757
6929,27,2061,2070,593863,18.1551086957,18.0605532609,17.4865141304,16.4589065217,14.4846043478,11.6496684783,9.67909891304,8.4704576087,7.73992717391,7.28890869565,2.56246560424,2.50359461605,2.2720200428,1.88129984813,1.96289741483,1.96771412811,1.52038444826,1.09751917617,0.885670080155,0.808467849509
6930,26,2031,2040,593863,17.2719532609,17.1692576087,16.4741815217,15.3120956522,13.7463163043,11.5979413043,9.36236630435,8.0469423913,7.30589347826,6.85825543478,2.72684362108,2.68477864571,2.32714754731,1.95772769049,2.12081958744,2.21067412277,1.69846672568,1.25187583817,1.03797500267,0.963805034586
6931,22,2001,2010,593863,16.0830836957,15.9959652174,15.4897445652,14.4909119565,13.2369728261,11.484698913,9.60052282609,8.33884130435,7.598375,7.12537173913,2.26637717804,2.20441289312,1.93913398745,1.75034608046,2.00730559188,2.06189639451,1.71227824852,1.26449321862,1.00653672031,0.870198984702
6932,28,2091,2100,2428383,19.1759521739,19.0874815217,18.5164945652,17.288426087,14.9768021739,11.658476087,9.49437717391,8.33180869565,7.65895217391,7.23613586957,2.12234514794,2.0762649009,1.8814866445,1.74908525478,2.30854263342,2.15243349982,1.44600744317,1.07403967194,0.904180264014,0.810116536719
6933,27,2061,2070,2428383,18.1441869565,18.0604782609,17.5558521739,16.436775,14.2276195652,11.7353021739,9.84774565217,8.62084347826,7.84361521739,7.35473478261,2.54404903163,2.52546769854,2.39381574327,2.05291577572,2.20117624082,2.11340684587,1.76695593057,1.33479223011,1.08541915292,0.986182751444
6934,26,2031,2040,2428383,17.0365630435,16.9310108696,16.3112945652,15.1800847826,13.647776087,11.463823913,9.49968913043,8.20740652174,7.4646673913,7.03000869565,2.68134657114,2.61960251325,2.30583766032,2.04479142855,2.24795819674,2.38375399559,2.15422547882,1.65081085361,1.3232583405,1.21771477045
6935,22,2001,2010,2428383,15.9502880435,15.8705391304,15.3808717391,14.4469021739,12.9902119565,11.0716282609,9.32658043478,8.15336521739,7.4131173913,6.97133586957,2.25868260029,2.22932645488,1.98938194559,1.87425382968,2.1468901333,2.35669600817,1.963088938,1.45888866482,1.09162664627,0.942527690554
6936,28,2091,2100,3575944,15.3693630435,15.1464923913,14.3454326087,12.8691173913,10.5128304348,8.46079782609,7.11568369565,6.25478695652,5.79414565217,5.48644782609,2.39004915624,2.24747583911,1.933820793,2.18032695368,2.32425505951,2.09710250245,1.57545560951,1.07377161249,0.881257978136,0.758087539551
6937,27,2061,2070,3575944,13.9011836957,13.6408793478,12.6555326087,11.2056119565,9.77426413043,8.30848586957,7.1677,6.47666304348,6.05566630435,5.74825108696,2.98177369711,2.82612916326,2.48313457635,2.35671293661,2.34606381039,2.07271757078,1.589739087,1.32102786816,1.13904529567,0.973610087119
6938,26,2031,2040,3575944,12.0253347826,11.7397532609,10.6542141304,9.5227173913,8.24669456522,7.29581304348,6.55883478261,5.95095978261,5.60511413043,5.38169021739,3.99914569562,3.73257620384,3.17486569127,2.7474169708,2.38337057694,2.11909669605,1.8065014008,1.52035916649,1.39278192936,1.31843356982
6939,22,2001,2010,3575944,10.409676087,10.2676467391,9.4896326087,8.52105326087,7.58087282609,6.843475,6.37110978261,6.05592934783,5.86882826087,5.68792065217,4.08770281904,3.68281349464,3.35862288217,2.92640956213,2.59349756702,2.22057269163,1.97206198763,1.81179329772,1.71048849867,1.59614802208
6940,28,2091,2100,7625007,17.1414967391,17.0653641304,16.574626087,15.6275413043,14.139026087,12.2165217391,10.5685152174,9.37912608696,8.4833576087,7.80212282609,2.34470221398,2.29250855351,2.05338815352,2.11294375626,2.49885363954,2.7493142458,2.61733438974,2.42183649894,2.10845020191,1.7226988528
6941,27,2061,2070,7625007,15.5987282609,15.5357728261,15.0906391304,14.2931858696,13.2502967391,12.073451087,10.7133543478,9.5132576087,8.68667391304,8.1319,2.98561526223,2.95927193563,2.77665525733,2.60355306803,2.53183289978,2.56244341912,2.3997636555,2.11795167742,1.91856703026,1.75087122439
6942,26,2031,2040,7625007,14.011373913,13.9355369565,13.3939326087,12.586826087,11.7035065217,10.7538271739,9.89793152174,8.98209782609,8.19109347826,7.61043586957,3.57833711561,3.51570113411,3.29536454692,3.06923969917,2.95892916106,2.90134317915,2.80899635357,2.57299862898,2.30816102767,2.08528534414
