,22,26,27,28,sequence,sequence2
381221,4,4,4,4,4444,44
384281,4,4,4,4,4444,44
384424,4,4,5,4,4454,44
386548,5,5,5,5,5555,55
390428,1,2,3,3,1233,13
390785,1,1,4,4,1144,14
392448,5,5,5,4,5554,54
394273,4,4,4,4,4444,44
395175,4,4,4,4,4444,44
403802,5,5,5,5,5555,55
404728,4,4,4,4,4444,44
406758,5,4,5,5,5455,55
410663,5,4,5,5,5455,55
412272,4,4,4,4,4444,44
414926,4,4,4,4,4444,44
416202,5,5,5,5,5555,55
418587,5,5,5,5,5555,55
418624,5,5,5,5,5555,55
422201,5,5,5,5,5555,55
423471,5,5,4,5,5545,55
424339,5,4,5,5,5455,55
425006,4,4,4,5,4445,45
427330,3,4,4,4,3444,34
428690,4,4,4,4,4444,44
430602,4,5,4,5,4545,45
431394,5,4,5,5,5455,55
431926,5,5,5,5,5555,55
432946,5,5,5,5,5555,55
435719,4,5,5,5,4555,45
436728,4,5,4,4,4544,44
436902,5,5,5,5,5555,55
439575,5,5,5,5,5555,55
440721,4,4,5,5,4455,45
442349,5,4,4,4,5444,54
444324,5,5,5,4,5554,54
448737,4,4,4,5,4445,45
449923,4,4,4,4,4444,44
453109,5,5,5,5,5555,55
453396,5,5,5,5,5555,55
465731,4,4,4,5,4445,45
466922,1,3,3,4,1334,14
470951,5,4,4,4,5444,54
472084,5,5,5,5,5555,55
472171,4,5,4,5,4545,45
476447,4,4,4,4,4444,44
479746,4,5,5,4,4554,44
483732,4,5,4,4,4544,44
486523,4,4,4,4,4444,44
486791,4,5,4,4,4544,44
489404,4,4,4,5,4445,45
490663,4,4,4,4,4444,44
494716,5,4,5,5,5455,55
495355,4,5,4,5,4545,45
498232,1,5,5,4,1554,14
501558,5,5,5,4,5554,54
501598,5,5,5,5,5555,55
502789,4,4,4,5,4445,45
503271,4,5,4,4,4544,44
503683,1,2,5,5,1255,15
505223,4,4,5,5,4455,45
507633,4,4,5,5,4455,45
508336,5,5,4,4,5544,54
511862,5,5,4,5,5545,55
514494,4,4,4,4,4444,44
515729,4,4,5,5,4455,45
517308,5,4,5,5,5455,55
520469,4,5,4,4,4544,44
521394,4,5,5,5,4555,45
522180,4,4,4,4,4444,44
522968,4,4,4,4,4444,44
523624,5,5,5,5,5555,55
524921,5,4,4,5,5445,55
527052,4,4,4,4,4444,44
529233,4,5,4,4,4544,44
530989,4,5,4,4,4544,44
532534,4,4,5,4,4454,44
535050,5,5,5,5,5555,55
535541,4,5,5,5,4555,45
539105,4,4,5,5,4455,45
539277,4,4,5,5,4455,45
540381,4,5,5,5,4555,45
540528,4,5,4,5,4545,45
540549,4,4,4,5,4445,45
541429,5,5,5,5,5555,55
542607,5,5,5,5,5555,55
544350,5,5,5,7,5557,57
544610,4,4,4,4,4444,44
547794,4,4,4,4,4444,44
548621,5,4,4,4,5444,54
549027,3,3,4,4,3344,34
549035,4,4,4,4,4444,44
549436,5,5,5,5,5555,55
552627,5,5,5,5,5555,55
553619,4,5,4,4,4544,44
556950,4,5,5,5,4555,45
558752,4,4,5,4,4454,44
560267,5,4,5,5,5455,55
564011,4,4,4,4,4444,44
567772,4,4,4,5,4445,45
569623,4,5,5,5,4555,45
571016,5,4,5,5,5455,55
571063,5,4,5,4,5454,54
571464,4,4,4,5,4445,45
574986,5,5,5,5,5555,55
577896,2,5,4,4,2544,24
578929,3,5,4,4,3544,34
579942,4,4,4,4,4444,44
