sequence,2001-2010,2091-2100,frequency
11,amictic,,11
12,amictic,,3
13,amictic,,48
14,amictic,,190
15,amictic,,72
24,,,10
25,,,2
34,,,359
35,,,13
44,,,2093
45,,,1795
47,,,193
48,,,30
54,,,715
55,,,3030
57,,,14
58,,,14
77,,,17
