vatn_lnr
40
109
126
233
392
965
1001
1293
1311
1524
1527
1528
1649
1651
1748
1935
2034
2059
4977
5114
8373
11074
11078
11147
11592
13194
14367
15342
18827
19385
19680
20013
20056
20124
20251
20451
20546
20952
21894
22414
22439
22445
22450
22451
22474
22487
22498
22502
22504
22508
22548
22563
22613
26000
26511
28557
29587
29589
29590
29741
31047
31279
31858
32121
32130
33992
34660
34672
34679
35326
36436
39140
39218
39224
41127
41133
41181
41201
43607
45724
50879
64282
64482
64713
66156
