sim_id,y,tsw00,tsw01,tsw02,tsw03,tsw04,tsw05,tsw06,tsw07,tsw08,tsw09,tsw10,tsw11,tsw12,pcd00,pcd01,pcd02,pcd03,pcd04,pcd05,pcd06,pcd07,pcd08,pcd09,pcd10,pcd11,pcd12,pcn00,pcn01,pcn02,pcn03,pcn04,pcn05,pcn06,pcn07,pcn08,pcn09,pcn10,pcn11,pcn12,icend,icemh,icedu,iceon,iceof,iceth,ebint
443157480,4.5,5.824930475,0,0,0,0,3.33323871,13.64841667,16.03067419,14.6193871,12.30299333,7.643090323,2.195526667,0.12583871,15.78572519,19,19,19,19,16.85202166,6.035223581,7.021386979,10.09164526,16.42842479,19,19,19,9.075,0,0,0,0,4.5,28.5,31,31,13.9,0,0,0,170.1,0.6019,171.7,327.2,133.7,0.2,3157480
443360272,4.5,4.234033522,0,0,0,0,0.370606452,9.01039,14.15869677,12.62132903,9.82583,4.6764,0.14515,0,13.3571494,16,16,16,16,15.79677419,8.155989633,4.804414328,7.037565472,12.49104919,16,16,16,8.35,0,0,0,0,0.5,18.4,31,31,19.3,0,0,0,214.5,0.8854,214.5,305.2,154.5,0,3360272
443447463,4.5,6.44813908,0.344932258,0.263689286,0.387277419,2.385456667,7.51353871,13.18635667,14.59404839,13.62157097,11.9387,7.997196774,4.024856667,1.120045161,16.8369308,19,19,19,19,14.71737978,9.418315413,10.45572137,15.82175301,18.63,19,19,19,6.075,0,0,0,0,10.4,23.6,26.1,11.4,1.4,0,0,0,95.3,0.2857,113.4,346.5,94.7,1.1,3447463
443677102,4.5,3.532338817,0,0,0,0,0.051164516,4.072273333,11.33298387,11.51737097,9.9392,5.230206452,0.244866667,0,17.66462138,19,19,19,19,19,16.84708761,9.471946983,15.04511264,18.61130934,19,19,19,4.133333333,0,0,0,0,0,4.5,25.2,18.6,1.3,0,0,0,222.1,1.0666,222.1,307.5,164.4,0,3677102
443757797,4.5,4.002251765,0,0,0,0,0.291254839,6.756366667,11.58424839,11.41884194,10.08736,6.584896774,1.27503,0.029022581,33.77293252,38,38,38,38,38,27.93247557,13.80003566,23.16966863,36.37301043,38,38,38,4.841666667,0,0,0,0,0,9.6,25.4,20.2,2.9,0,0,0,195.7,0.7575,195.7,320.9,151.4,0,3757797
443786399,4.5,3.566777814,0,0,0,0,0.097254839,5.905626667,11.38220323,10.92911613,9.254766667,5.038912903,0.193453333,0,56.505063,65,65,65,65,65,48.66259141,20.20353136,29.09031119,60.10432197,65,65,65,5.191666667,0,0,0,0,0,8.3,25,24.7,4.3,0,0,0,215.2,0.768,215.2,306.4,156.4,0,3786399
443851794,4.5,5.657715448,0,0,0,0,4.052777419,12.94235,15.12363226,14.11421935,12.15179,7.279783871,2.091306667,0.136725806,13.88617435,16,16,16,16,13.84769026,6.665291016,7.627674904,11.04844529,15.44499077,16,16,16,7.841666667,0,0,0,0,6.1,26.8,30.8,26.9,3.5,0,0,0,163.8,0.5328,165.4,329.6,129.8,0.1,3851794
444089598,4.5,5.812507769,0,0,0,0,3.559087097,12.51595333,15.18788065,14.33133871,12.55112667,8.134445161,3.26201,0.208251613,18.82860399,22,22,22,22,20.44074925,8.528900516,8.584538209,13.69536833,20.69369155,22,22,22,7.883333333,0,0,0,0,3,25.8,30.8,28,7,0,0,0,158.9,0.5391,158.9,336.5,130.2,0,4089598
444353283,4.5,6.321962222,0,0,0,0.28006,5.568974194,13.32888667,15.60593548,14.61484516,12.98209667,8.823448387,4.233903333,0.425396774,21.83498027,26,26,26,26,21.73514226,9.003133615,9.389996006,15.55305609,24.33843529,26,26,26,8.333333333,0,0,0,0,7,26.9,30.7,29,6.4,0,0,0,144.4,0.4882,144.4,341.3,120.5,0,4353283
444538181,4.5,5.257360645,0,0,0,0,2.476951613,12.40750667,14.87129355,13.66889032,11.55150667,6.689203226,1.370346667,0.052629032,17.65492521,21,21,21,21,19.68129999,7.444145848,7.564351057,11.56849763,18.60080801,21,21,21,8.425,0,0,0,0,2.5,26,31,29.5,12.1,0,0,0,180.5,0.5903,180.5,321.7,137,0,4538181
444764043,4.5,6.425274677,0,0,0,0.145353333,6.981493548,15.03304,16.65603226,15.33446129,12.54143667,7.638174194,2.56385,0.209454839,12.75369555,16,16,16,16,10.50535483,4.893434182,5.886812345,7.645034605,12.11371061,16,16,16,10.70833333,0,0,0,0,14,29.4,31,31,23.1,0,0,0,155.2,0.4929,158.1,330.5,123.4,0.3,4764043
444834503,4.5,5.872616398,0,0,0,0.049023333,4.1316,12.88093333,15.27756774,14.37544839,12.55228667,7.937664516,3.067556667,0.199316129,20.56912239,24,24,24,24,21.55983764,9.171451578,9.651537257,15.58241504,22.86422712,24,24,24,7.666666667,0,0,0,0,4.2,25.5,30.8,26.3,5.2,0,0,0,156.4,0.5325,156.4,336.2,127.4,0,4834503
444909072,4.5,6.497244756,0.485403226,0.367328571,0.674951613,2.358453333,7.212167742,12.74581,14.55653871,13.46403226,11.81178333,8.195148387,4.463916667,1.631403226,35.67504768,43,43,43,42.88666667,30.91883873,16.07637066,13.08556592,26.42044505,40.7126851,43,43,43,7.108333333,0,0,0,0.1,11,24,29.1,18.8,2.3,0,0,0,82.7,0.2894,96.3,348.875,83.2,1,4909072
445534548,4.5,5.108908324,0,0,0,0,2.429235484,13.07838,15.19057742,13.5239129,10.87052667,5.731490323,0.47289,0.009887097,15.58841156,19,19,19,19,17.43334836,5.705713811,6.229699636,9.148682169,15.54349475,19,19,19,9.116666667,0,0,0,0,3.3,28,31,31,16.1,0,0,0,192.2,0.6168,192.2,311.7,138.7,0,5534548
446409213,4.5,6.003347554,0,0,0,0.163406667,4.528693548,12.4435,14.98319355,14.31585484,12.70056333,8.570951613,3.98512,0.348887097,26.10510645,31,31,31,31,27.88323022,11.61821367,10.38726693,17.77967856,28.59288805,31,31,31,7.85,0,0,0,0,4.1,24.7,30.8,26.8,7.8,0,0,0,151.3,0.513,151.3,338.8,124.9,0,6409213
446476501,4.5,5.532121174,0,0,0,0,3.494932258,13.36951333,15.29892258,14.0289,11.89259333,6.806867742,1.43407,0.059654839,13.7353868,16,16,16,16,14.32662134,5.868352657,6.99619312,10.51278503,15.12068942,16,16,16,8.325,0,0,0,0,4.4,27.9,30.8,29.2,7.6,0,0,0,176.7,0.5626,176.7,321.8,133.3,0,6476501
446508730,4.5,5.382076303,0.084258065,0.024457143,0.019880645,0.660873333,4.838967742,11.16188667,13.77818065,13.11540323,11.01502,7.024919355,2.621833333,0.239235484,34.89289484,40,40,40,40,35.82611236,21.20342252,15.18609432,27.3057755,39.19333333,40,40,40,5.358333333,0,0,0,0,4,18.3,26.3,14.8,0.9,0,0,0,139.2,0.3785,143.7,338.2,116.7,0.6,6508730
446883883,4.5,4.353610502,0,0,0,0.01654,1.817858065,9.26723,13.11994839,12.07666452,9.773523333,5.287548387,0.794213333,0.0898,22.77093132,26,26,26,26,24.06352489,15.73886793,9.406694905,16.70938933,25.33269876,26,26,26,5.716666667,0,0,0,0,2.8,15.2,28.5,20.2,1.9,0,0,0,190.2,0.5889,194.8,313.3,142.9,0.4,6883883
447449222,4.5,6.629282088,0.003590323,0.065167857,0.092506452,1.16794,6.001074194,12.36758333,14.90452258,14.35259677,13.04651667,9.795603226,5.984393333,1.769890323,40.51099105,50,50,50,50,43.25174037,14.1366951,11.50094874,25.49664761,41.74586083,50,50,50,7.9,0,0,0,0,5.1,25.9,29.7,22.7,11.4,0,0,0,116.5,0.39,119.3,352.7777778,108.1,0.2,7449222
447514322,4.5,6.635941362,0,0,0,0.905543333,6.915016129,13.97146667,15.94544839,14.96884194,13.27151667,8.78416129,4.24146,0.627841935,21.28502671,25,25,25,25,19.46448815,9.146342274,10.36483339,17.34486398,24.09979277,25,25,25,8.15,0,0,0,0,9.9,27.3,30.9,25.5,4.2,0,0,0,131.3,0.4139,131.3,345.7,111.8,0,7514322
447758579,4.5,6.373755977,0,0,0,0.220393333,6.313416129,15.21629,16.73476452,15.17701935,12.46070667,7.64206129,2.524333333,0.196087097,23.71603752,32,32,32,32,21.26537466,5.646725783,6.941963509,9.777688538,17.29316152,31.6675362,32,32,11.00833333,0,0,0,0,12.4,29.9,31,31,26.6,1.2,0,0,155.7,0.5235,157.4,330.9,123.1,0.2,7758579
448154555,4.5,5.828317482,0,0,0,0,5.055522581,14.31073333,15.88541935,14.43133871,11.99924,6.800590323,1.39713,0.059835484,10.22493586,12,12,12,12,9.609199726,4.601230276,5.694201608,7.717023504,11.07757515,12,12,12,9.241666667,0,0,0,0,9.3,29.3,31,30.8,10.5,0,0,0,173.4,0.5368,173.8,320.8,129.4,0.1,8154555
448515280,4.5,6.410461774,0,0,0,0.61537,6.927870968,15.63838333,16.81845806,15.22455484,12.32886667,7.083070968,2.07116,0.217806452,19.19359876,26,26,26,25.78,15.92306961,4.942483365,6.082685197,8.226485231,13.77744511,25.59101658,26,26,11.30833333,0,0,0,0.3,14.3,29.9,31,31,27.2,2,0,0,156.1,0.5336,158.3,327.6,120.7,0.3,8515280
448725679,4.5,6.45764853,0,0,0,0.09936,5.132429032,13.51481333,15.90395484,14.9273871,13.06164667,9.285603226,4.928033333,0.638554839,29.09433078,37,37,37,37,31.48352905,8.863693657,8.623246829,13.56725947,27.5942403,37,37,37,9.375,0,0,0,0,5.6,28.1,31,30.2,17.6,0,0,0,145.5,0.5231,145.5,343.7,124,0,8725679
449189278,4.5,4.792423952,0,0,0,0,0.770870968,10.67046667,14.65991935,13.3899,11.16595667,6.256070968,0.588286667,0.007616129,15.56061639,18,18,18,18,17.77133811,8.676789875,6.940139985,10.73840729,16.60072137,18,18,18,7.666666667,0,0,0,0,0.6,21.4,31,30.3,8.7,0,0,0,200.8,0.7482,201.3,310.8,146.9,0.1,9189278
