,default,min_abs_bias,min_rmsd,observation
0.5,19.701,20.724,20.646,19.66
1.5,19.701,20.724,20.646,21.817
2.5,19.701,20.724,20.646,21.221
3.5,19.701,20.724,20.646,20.88
4.5,19.701,20.724,20.646,20.355
5.5,19.701,20.724,20.577,19.415
6.5,19.701,19.894,19.044,17.917
7.5,19.701,17.968,16.716,15.276
8.5,19.576,11.619,12.448,12.437
9.5,19.258,9.769,10.359,10.627
10.5,19.061,8.41,9.084,9.302
11.5,18.799,7.237,8.185,8.156
12.5,18.261,6.423,7.515,7.133
13.5,17.608,5.911,7.005,6.419
14.5,16.835,5.593,6.612,5.943
15.5,15.823,5.352,6.308,5.695
16.5,14.745,5.161,6.07,5.568
17.5,13.848,5.014,5.864,5.413
18.5,13.148,4.906,5.677,5.306
19.5,12.606,4.829,5.511,5.222
20.5,12.179,4.775,5.364,5.169
21.5,11.837,4.737,5.235,5.118
22.5,11.558,4.71,5.123,5.05
23.5,11.324,4.689,5.027,4.969
24.5,11.126,4.671,4.946,4.921
25.5,10.957,4.654,4.876,4.884
26.5,10.81,4.638,4.818,4.875
27.5,10.681,4.62,4.769,4.866
28.5,10.568,4.602,4.727,4.816
29.5,10.468,4.583,4.693,4.76
30.5,10.379,4.564,4.663,4.732
31.5,10.3,4.545,4.638,4.742
