,default,min_abs_bias,min_rmsd,observation
0.5,19.514,20.557,20.089,15.505
1.5,19.424,19.749,19.412,14.978
2.5,18.373,18.691,18.321,14.749
3.5,18.02,18.229,17.646,14.579
4.5,17.822,11.338,15.667,14.353
5.5,17.666,7.527,13.094,14.101
6.5,17.462,6.146,11.296,13.74
7.5,17.079,5.47,10.027,13.154
8.5,16.233,5.09,9.107,10.249
9.5,15.157,4.787,8.42,8.258
10.5,14.317,4.55,7.895,7.076
11.5,13.646,4.373,7.485,6.689
12.5,13.108,4.245,7.158,6.514
13.5,12.672,4.157,6.893,6.442
14.5,12.316,4.097,6.675,6.417
15.5,12.023,4.059,6.492,6.362
16.5,11.782,4.035,6.323,6.365
17.5,11.583,4.02,6.168,6.417
