,default,min_abs_bias,min_rmsd,observation
0.5,17.499,18.402,18.067,17.801
1.5,17.499,18.402,18.067,17.782
2.5,17.499,18.402,18.067,17.745
3.5,17.499,18.402,18.067,17.688
4.5,17.499,18.402,18.067,17.089
5.5,17.499,18.402,16.27,15.65
6.5,17.499,14.756,13.67,14.415
7.5,17.499,12.272,12.193,12.63
8.5,17.499,10.926,11.037,11.157
9.5,17.015,9.769,10.112,10.478
10.5,14.384,8.75,9.363,9.962
11.5,13.642,7.891,8.751,8.849
12.5,13.093,7.207,8.249,7.65
13.5,12.657,6.684,7.832,7.238
14.5,12.297,6.288,7.483,6.988
15.5,11.992,5.988,7.189,6.728
16.5,11.729,5.751,6.94,6.426
17.5,11.5,5.539,6.726,6.291
18.5,11.298,5.351,6.542,6.219
19.5,11.118,5.187,6.37,6.068
20.5,10.956,5.046,6.208,5.989
21.5,10.81,4.925,6.055,5.941
22.5,10.678,4.824,5.912,5.891
23.5,10.557,4.74,5.778,5.842
24.5,10.445,4.671,5.654,5.831
25.5,10.343,4.614,5.539,5.845
26.5,10.248,4.569,5.433,5.803
27.5,10.161,4.533,5.335,5.803
28.5,10.08,4.504,5.246,5.815
29.5,10.003,4.481,5.164,5.799
