,default,min_abs_bias,min_rmsd,observation
0.5,21.664,22.392,22.193,21.173
1.5,21.664,22.392,22.193,20.456
2.5,21.664,22.359,22.014,19.331
3.5,21.475,20.696,20.112,18.136
4.5,20.763,17.765,17.642,17.502
5.5,20.297,12.501,14.789,16.803
6.5,19.71,9.669,12.574,14.281
7.5,19.228,7.987,10.982,11.634
8.5,18.75,6.939,9.832,9.593
9.5,18.209,6.264,8.981,8.075
10.5,17.588,5.813,8.338,7.364
11.5,16.974,5.499,7.842,7.055
12.5,16.42,5.233,7.453,6.788
13.5,15.945,5.001,7.143,6.555
14.5,15.549,4.802,6.893,6.401
15.5,15.223,4.635,6.689,6.375
16.5,14.957,4.497,6.516,6.314
