id,lakename,p1_default,p2_default,p1_min_rmsd,p2_min_rmsd,p1_min_abs_bias,p2_min_abs_bias,min_rmsd,min_abs_bias
214,Harasjøen,0.0153016839176,0.696993172169,0.0015301683452,0.174248293042,0.0015301683452,0.174248293042,2.55154418945,2.50300002098
10000,Hurdalsjøen,0.0498618260026,0.999946892262,0.0249309130013,0.249986723065,0.034903280437,0.486828833818,1.39548456669,0.00216666655615
10001,Harestuvatnet,0.0103499246761,0.447885602713,0.0124199101701,0.111971400678,0.00413997005671,0.230392456055,2.17000317574,0.000250000011874
394,Vatsvatnet,0.0108948722482,0.478476017714,0.0217897444963,0.395934790373,0.00544743612409,0.277513742447,1.61878681183,0.00494117662311
191,Rødbyvatnet,0.00767186889425,0.293901115656,0.00537030817941,0.073475278914,0.000767186866142,0.073475278914,0.666081130505,0.0582222230732
3017,Sør-Ælgen,0.0328108333051,0.990552425385,0.0229675844312,0.247638106346,0.0295297503471,0.563427567482,0.44253128767,0.000612903211731
258,Gjønvatnet,0.0127910878509,0.579789698124,0.00127910880838,0.144947424531,0.00127910880838,0.144947424531,2.22590112686,0.996452391148
2870,Visten,0.0491945035756,0.99993288517,0.00491945026442,0.249983221292,0.00491945026442,0.249983221292,2.69237184525,2.33170008659
498,Dagarn,0.00940862018615,0.394075572491,0.000940861995332,0.0985188931227,0.000940861995332,0.0985188931227,1.17643666267,0.674399971962
3189,Dragsjøn,0.00865939818323,0.35079061985,0.000865939771757,0.0876976549625,0.000865939771757,0.0876976549625,3.10273385048,2.97300004959
395,Vostervatnet,0.012210640125,0.549771487713,0.0109895756468,0.137442871928,0.012210640125,0.492706030607,0.604323923588,0.0042857141234
277,Engsetdalsvatnet/Fyllingsvatnet,0.0161859504879,0.732864677906,0.00161859497894,0.617426693439,0.0194231402129,0.617426693439,9.45571899414,9.45566654205
252,Vermundsjøen,0.0138708390296,0.632855594158,0.00693541951478,0.15821389854,0.00138708390296,0.15821389854,2.85337042809,0.19741666317
339,Ringsjøen,0.00789162050933,0.306497186422,0.0157832410187,0.234519034624,0.00236748624593,0.15557166934,2.16962814331,0.00188888888806
236,Rokossjøen,0.0148441679776,0.677289605141,0.00890650041401,0.169322401285,0.00445325020701,0.248269766569,1.75878930092,0.0640000030398
3165,Bæsingen,0.0293561834842,0.978116035461,0.0293561834842,0.244529008865,0.00880685448647,0.323476374149,0.718335688114,0.0234999991953
3160,Skattungen,0.0372583903372,0.997120082378,0.0223550330848,0.288753718138,0.0223550330848,0.446648448706,1.09186899662,0.0241538453847
170,Gjersjøen,0.0121591407806,0.547061979771,0.00851139891893,0.136765494943,0.0036477423273,0.215712860227,0.655126929283,0.00400000018999
3384,Hinsen,0.02825602144,0.971844136715,0.00847680587322,0.242961034179,0.00282560195774,0.242961034179,1.40453755856,0.330222219229
2887,Tisjøn,0.0447526089847,0.999700963497,0.0358020886779,0.249925240874,0.0134257832542,0.328872621059,1.1294696331,0.00670588249341
3029,Ørlingen,0.00852386187762,0.342953175306,0.00255715847015,0.0857382938266,0.00085238617612,0.0857382938266,0.942498266697,0.218222215772
345,Trevatna,0.016994163394,0.763072252274,0.0135953305289,0.190768063068,0.00509824929759,0.269715428352,1.97082459927,0.115529410541
3027,Nætsjøn,0.0128652760759,0.583554625511,0.00257305521518,0.145888656378,0.00128652760759,0.145888656378,1.3845154047,0.0366666652262
3106,Långbjørken,0.00940862018615,0.394075572491,0.000940861995332,0.0985188931227,0.000940861995332,0.0985188931227,0.888227283955,0.78125
3516,Holmsjøn,0.0636433511972,0.999999761581,0.00636433484033,0.249999940395,0.00636433484033,0.249999940395,2.01465821266,1.63128566742
3020,Ljusnaren,0.0250539723784,0.94386523962,0.0175377801061,0.235966309905,0.0175377801061,0.472808420658,1.17431914806,0.0186470579356
344,Strondavatnet,0.0301478486508,0.981830298901,0.0301478486508,0.995457589626,0.018088709563,0.442826002836,1.27669966221,0.00246875011362
288,Vatnevatnet,0.0105532659218,0.459359109402,0.00633195927367,0.11483977735,0.00105532654561,0.11483977735,1.95366215706,0.587880015373
180,Øgderen,0.0292528085411,0.977584421635,0.0146264042705,0.244396105409,0.011701123789,0.362817168236,1.91954565048,0.0412222221494
404,Jølstravatnet,0.0551257990301,0.999992311001,0.0330754816532,0.24999807775,0.00551258027554,0.24999807775,3.12528562546,0.260023802519
340,Sæbuvatnet,0.00895843002945,0.36808475852,0.0179168600589,0.842021167278,0.0161251742393,0.763073801994,1.38982534409,0.00847058836371
3025,Halvarsnoren,0.0343663394451,0.993679761887,0.027493070811,0.287893623114,0.0137465354055,0.366840988398,0.481072425842,0.00187499995809
353,Aspern,0.0202946010977,0.861515939236,0.0101473005489,0.333800047636,0.00811784062535,0.333800047636,0.907454311848,0.016285713762
189,Krøderen,0.058700285852,0.999998092651,0.029350142926,0.249999523163,0.0117400577292,0.289473205805,3.26338577271,0.102384611964
285,Rotevatnet,0.00852386187762,0.342953175306,0.00340954470448,0.0857382938266,0.00085238617612,0.0857382938266,0.917084991932,0.0100588239729
349,Bogstadvannet,0.00740906735882,0.278916269541,0.00444544060156,0.0697290673852,0.000740906747524,0.0697290673852,2.52230525017,0.0385714285076
374,Edlandsvatnet,0.0107251377776,0.469003587961,0.00214502750896,0.11725089699,0.00107251375448,0.11725089699,1.07437443733,1.07083332539
5000,Forssjøn,0.0100238835439,0.429361850023,0.0170406010002,0.107340462506,0.00100238830782,0.107340462506,0.44414332509,0.00757142854854
2875,Næsræmmen,0.0123895574361,0.559127688408,0.00619477871805,0.139781922102,0.00123895576689,0.139781922102,1.5164809227,0.0211111102253
2878,Rangsjøen,0.0124149508774,0.560448348522,0.0124149508774,0.140112087131,0.00124149513431,0.140112087131,2.1442296505,0.0082499999553
