,default,min_abs_bias,min_rmsd,observation
0.5,18.012,19.281,19.084,18.532
1.5,18.012,19.281,19.084,18.333
2.5,18.012,19.281,19.084,18.284
3.5,18.012,19.281,19.084,18.203
4.5,18.012,19.281,19.084,17.762
5.5,18.012,19.281,19.084,15.599
6.5,18.012,16.991,16.122,12.461
7.5,18.012,12.398,12.669,10.359
8.5,17.899,10.793,10.717,8.319
9.5,17.24,9.136,9.308,7.056
10.5,15.942,7.445,8.232,6.418
11.5,14.354,6.172,7.41,5.946
12.5,13.214,5.472,6.789,5.747
13.5,12.367,5.091,6.322,5.625
14.5,11.721,4.801,5.97,5.511
15.5,11.213,4.591,5.703,5.455
16.5,10.803,4.447,5.468,5.397
17.5,10.466,4.353,5.257,5.322
18.5,10.184,4.295,5.071,5.262
19.5,9.946,4.26,4.909,5.215
20.5,9.742,4.238,4.771,5.151
21.5,9.566,4.226,4.653,5.107
22.5,9.413,4.218,4.556,5.062
23.5,9.279,4.213,4.475,5.004
24.5,9.162,4.209,4.409,4.953
25.5,9.057,4.206,4.356,4.893
26.5,8.963,4.203,4.313,4.854
27.5,8.874,4.199,4.279,4.799
28.5,8.79,4.193,4.251,4.753
29.5,8.712,4.187,4.23,4.698
30.5,8.638,4.179,4.212,4.659
31.5,8.57,4.17,4.198,4.632
32.5,8.506,4.159,4.186,4.619
33.5,8.447,4.149,4.176,4.569
34.5,8.392,4.139,4.168,4.536
35.5,8.341,4.13,4.16,4.506
36.5,8.294,4.122,4.154,4.456
37.5,8.251,4.115,4.147,4.434
38.5,8.211,4.111,4.142,4.43
39.5,8.174,4.107,4.136,4.394
