,default,min_abs_bias,min_rmsd,observation
0.5,18.718,19.934,19.641,18.105
1.5,18.718,19.934,19.641,17.868
2.5,18.718,19.934,19.641,17.737
3.5,18.718,19.934,18.921,17.168
4.5,18.718,17.592,15.713,15.535
5.5,16.711,13.402,13.077,11.646
6.5,15.212,10.787,11.061,9.362
7.5,13.977,8.99,9.582,8.88
8.5,12.93,7.762,8.505,8.656
9.5,12.047,6.922,7.714,8.371
10.5,11.3,6.338,7.124,7.798
11.5,10.662,5.924,6.675,7.465
12.5,10.114,5.623,6.328,6.955
13.5,9.638,5.369,6.054,5.586
14.5,9.223,5.142,5.826,5.019
15.5,8.858,4.944,5.615,4.939
16.5,8.535,4.773,5.422,4.804
17.5,8.248,4.626,5.246,4.696
18.5,7.992,4.503,5.086,4.681
19.5,7.762,4.4,4.943,4.662
20.5,7.554,4.315,4.814,4.641
21.5,7.366,4.246,4.7,4.597
22.5,7.195,4.191,4.599,4.55
23.5,7.04,4.146,4.51,4.495
24.5,6.89,4.111,4.432,4.453
25.5,6.746,4.084,4.364,4.445
26.5,6.606,4.063,4.306,4.433
27.5,6.472,4.047,4.256,4.424
28.5,6.342,4.034,4.213,4.406
29.5,6.217,4.025,4.176,4.39
30.5,6.097,4.018,4.145,4.4
31.5,5.982,4.013,4.119,4.391
32.5,5.872,4.009,4.098,4.383
33.5,5.766,4.007,4.079,4.38
34.5,5.666,4.005,4.064,4.365
35.5,5.57,4.003,4.052,4.348
36.5,5.479,4.002,4.042,4.331
37.5,5.393,4.002,4.034,4.332
38.5,5.311,4.001,4.027,4.328
