,default,min_abs_bias,min_rmsd,observation
0.5,21.217,21.508,21.463,22.218
1.5,21.217,21.508,21.463,21.941
2.5,21.217,21.508,21.463,21.405
3.5,21.217,21.508,20.99,19.86
4.5,21.217,20.891,18.081,17.114
5.5,21.217,18.409,15.595,13.51
6.5,20.5,16.116,13.554,11.125
7.5,19.632,14.159,11.99,10.438
8.5,18.874,12.637,10.805,10.086
9.5,18.065,11.468,9.899,9.819
10.5,17.281,10.557,9.197,9.654
11.5,16.571,9.837,8.644,9.457
12.5,15.954,9.26,8.202,9.226
13.5,15.43,8.791,7.844,8.929
14.5,14.989,8.407,7.551,8.68
15.5,14.621,8.09,7.309,8.474
16.5,14.313,7.828,7.107,8.341
