,default,min_abs_bias,min_rmsd,observation
0.5,21.275,21.829,21.55,21.598
1.5,21.275,21.829,21.55,21.24
2.5,21.275,21.829,21.55,20.435
3.5,21.275,21.684,20.863,19.608
4.5,21.275,20.297,19.021,19.085
5.5,20.282,17.54,17.065,17.84
6.5,19.775,14.557,15.284,16.293
7.5,18.911,12.305,13.776,14.011
8.5,17.821,10.696,12.535,12.322
9.5,16.742,9.529,11.523,11.29
10.5,15.762,8.661,10.696,10.394
11.5,14.91,7.998,10.017,9.929
12.5,14.182,7.482,9.454,9.28
13.5,13.564,7.072,8.984,8.743
14.5,13.037,6.74,8.589,8.356
15.5,12.587,6.469,8.254,8.031
16.5,12.199,6.243,7.967,7.841
17.5,11.863,6.042,7.72,7.558
18.5,11.572,5.853,7.506,7.417
19.5,11.318,5.677,7.32,7.334
20.5,11.095,5.513,7.157,7.294
21.5,10.901,5.362,7.008,7.256
22.5,10.731,5.224,6.868,7.248
23.5,10.582,5.097,6.736,7.278
