,default,min_abs_bias,min_rmsd,observation
0.5,18.858,18.58,18.335,17.201
1.5,18.858,18.58,18.335,17.091
2.5,18.858,18.58,18.335,17.035
3.5,18.858,18.58,18.335,16.987
4.5,18.858,18.58,18.335,16.857
5.5,18.858,18.58,18.335,16.727
6.5,18.858,18.58,18.335,16.635
7.5,18.858,18.58,17.073,16.399
8.5,18.858,18.469,15.671,15.591
9.5,18.858,17.011,14.487,14.877
10.5,18.858,16.083,13.455,14.616
11.5,17.838,15.27,12.575,13.588
12.5,16.818,14.562,11.833,12.819
13.5,16.181,13.949,11.211,12.39
14.5,15.645,13.424,10.693,10.628
15.5,15.19,12.976,10.261,8.026
16.5,14.803,12.596,9.902,7.486
17.5,14.476,12.276,9.604,7.398
