,default,min_abs_bias,min_rmsd,observation
0.5,18.677,20.368,19.493,13.655
1.5,18.677,20.368,19.493,12.791
2.5,18.677,20.368,19.493,12.107
3.5,18.677,20.368,18.631,11.703
4.5,17.786,16.171,16.64,11.492
5.5,16.115,12.619,14.551,11.236
6.5,14.656,10.359,12.688,10.757
7.5,13.338,8.763,11.148,10.261
8.5,12.19,7.605,9.914,9.662
9.5,11.208,6.756,8.938,9.359
10.5,10.375,6.13,8.167,8.767
11.5,9.671,5.667,7.556,8.261
12.5,9.075,5.326,7.069,7.617
13.5,8.57,5.035,6.678,7.021
14.5,8.14,4.792,6.362,6.717
15.5,7.772,4.599,6.104,6.369
16.5,7.455,4.449,5.882,6.143
17.5,7.181,4.335,5.676,6.034
18.5,6.943,4.249,5.486,5.879
19.5,6.735,4.185,5.311,5.584
20.5,6.552,4.137,5.152,5.353
21.5,6.379,4.102,5.007,5.158
22.5,6.213,4.075,4.877,4.992
23.5,6.056,4.056,4.76,4.86
24.5,5.907,4.041,4.656,4.747
25.5,5.765,4.031,4.564,4.666
26.5,5.631,4.023,4.483,4.568
27.5,5.505,4.017,4.412,4.465
28.5,5.386,4.012,4.35,4.382
29.5,5.274,4.009,4.296,4.322
30.5,5.169,4.007,4.249,4.273
31.5,5.071,4.005,4.209,4.236
32.5,4.98,4.004,4.175,4.196
33.5,4.895,4.003,4.145,4.172
34.5,4.815,4.002,4.121,4.143
35.5,4.742,4.002,4.1,4.111
36.5,4.674,4.001,4.082,4.091
37.5,4.611,4.001,4.067,4.08
38.5,4.553,4.001,4.055,4.068
39.5,4.499,4.0,4.045,4.058
40.5,4.45,4.0,4.036,4.066
41.5,4.405,4.0,4.03,4.046
42.5,4.364,4.0,4.024,4.044
43.5,4.327,4.0,4.019,4.039
44.5,4.293,4.0,4.015,4.036
45.5,4.262,4.0,4.012,4.024
46.5,4.233,4.0,4.01,4.026
47.5,4.208,4.0,4.008,4.044
48.5,4.185,4.0,4.006,4.026
49.5,4.164,4.0,4.005,4.018
50.5,4.145,4.0,4.004,4.018
51.5,4.129,4.0,4.003,4.023
52.5,4.114,4.0,4.002,4.025
53.5,4.1,4.0,4.002,4.014
54.5,4.088,4.0,4.001,4.011
55.5,4.078,4.0,4.001,4.005
56.5,4.068,4.0,4.001,4.006
57.5,4.06,4.0,4.001,3.996
58.5,4.052,4.0,4.001,4.006
59.5,4.046,4.0,4.0,3.991
60.5,4.04,4.0,4.0,3.992
61.5,4.035,4.0,4.0,3.989
62.5,4.03,4.0,4.0,3.986
63.5,4.026,4.0,4.0,3.988
64.5,4.023,4.0,4.0,4.002
65.5,4.02,4.0,4.0,3.994
66.5,4.017,4.0,4.0,3.992
67.5,4.015,4.0,4.0,3.991
68.5,4.013,4.0,4.0,4.024
