,default,min_abs_bias,min_rmsd,observation
0.5,18.8,20.06,19.396,17.816
1.5,18.8,20.06,19.396,17.548
2.5,18.8,20.06,19.396,17.446
3.5,18.8,20.06,19.396,17.147
4.5,18.8,19.601,18.551,16.56
5.5,18.8,14.12,16.269,15.052
6.5,18.777,11.24,14.322,13.664
7.5,16.267,9.357,12.648,12.162
8.5,15.049,8.023,11.264,10.72
9.5,14.026,7.051,10.142,9.756
10.5,13.148,6.334,9.239,9.085
11.5,12.387,5.803,8.512,8.465
12.5,11.723,5.412,7.925,7.616
13.5,11.143,5.098,7.448,6.736
14.5,10.634,4.835,7.058,6.451
15.5,10.187,4.627,6.735,6.258
16.5,9.793,4.468,6.466,6.054
17.5,9.444,4.348,6.24,5.893
18.5,9.135,4.259,6.037,5.856
19.5,8.861,4.192,5.846,5.729
20.5,8.616,4.142,5.668,5.634
21.5,8.396,4.106,5.502,5.589
22.5,8.2,4.078,5.348,5.591
23.5,8.023,4.058,5.207,5.545
24.5,7.863,4.043,5.077,5.539
25.5,7.719,4.032,4.959,5.543
26.5,7.587,4.024,4.852,5.541
27.5,7.462,4.018,4.755,5.522
28.5,7.342,4.013,4.667,5.516
29.5,7.227,4.01,4.589,5.512
