,default,min_abs_bias,min_rmsd,observation
0.5,15.548,16.01,15.889,16.285
1.5,15.548,16.01,15.889,16.259
2.5,15.548,16.01,15.889,16.236
3.5,15.548,16.01,15.889,16.212
4.5,15.548,16.01,15.889,15.888
5.5,15.548,16.01,15.889,14.505
6.5,15.548,15.539,14.936,12.324
7.5,15.548,10.909,11.363,9.643
8.5,15.548,8.265,9.522,8.483
9.5,15.548,7.019,8.226,7.738
10.5,15.548,6.337,7.345,7.201
11.5,15.548,5.909,6.743,6.731
12.5,15.548,5.619,6.322,6.409
13.5,15.548,5.39,6.019,6.242
14.5,15.548,5.215,5.787,6.097
15.5,15.548,5.086,5.586,6.059
16.5,15.548,4.994,5.416,6.022
