,default,min_abs_bias,min_rmsd,observation
0.5,19.582,19.64,19.459,18.906
1.5,19.582,19.64,19.459,18.506
2.5,19.582,19.64,19.459,17.569
3.5,19.582,19.64,19.459,17.093
4.5,19.582,19.64,18.043,16.681
5.5,19.582,19.288,16.378,16.361
6.5,19.582,15.243,14.972,16.156
7.5,19.582,13.088,13.819,15.018
8.5,19.582,12.061,12.891,12.513
9.5,19.582,11.457,12.141,11.399
10.5,19.582,11.047,11.533,10.927
11.5,19.582,10.741,11.038,10.636
12.5,19.582,10.493,10.634,10.484
13.5,19.582,10.282,10.305,10.34
14.5,19.582,10.097,10.039,10.295
