,default,min_abs_bias,min_rmsd,observation
0.5,21.083,21.642,21.482,21.183
1.5,21.083,21.642,21.482,20.931
2.5,21.083,21.561,21.457,20.136
3.5,21.083,20.2,20.105,18.922
4.5,20.136,19.724,19.62,18.516
5.5,19.815,18.824,19.009,18.332
6.5,19.663,15.659,17.273,17.934
7.5,19.532,13.642,15.467,15.748
8.5,19.38,12.256,14.116,13.588
9.5,19.154,11.212,13.085,12.811
10.5,18.738,10.375,12.272,12.18
11.5,17.871,9.679,11.613,11.628
12.5,17.153,9.093,11.067,10.973
13.5,16.579,8.601,10.608,10.374
14.5,16.125,8.19,10.22,9.955
15.5,15.765,7.849,9.892,9.689
16.5,15.478,7.568,9.616,9.654
17.5,15.248,7.338,9.384,9.564
