,default,min_abs_bias,min_rmsd,observation
0.5,18.509,19.689,18.774,9.976
1.5,18.421,19.689,18.618,9.947
2.5,18.151,19.528,18.368,9.923
3.5,17.862,18.36,17.748,9.906
4.5,16.823,15.847,16.682,9.895
5.5,15.79,13.763,15.508,9.876
6.5,14.733,12.106,14.33,9.829
7.5,13.714,10.782,13.222,9.802
8.5,12.77,9.711,12.219,9.765
9.5,11.916,8.836,11.33,9.678
10.5,11.153,8.114,10.552,9.595
11.5,10.478,7.517,9.875,9.514
12.5,9.884,7.021,9.287,9.087
13.5,9.362,6.608,8.777,8.134
14.5,8.904,6.262,8.334,7.765
15.5,8.501,5.973,7.948,7.212
16.5,8.146,5.728,7.612,6.662
17.5,7.832,5.499,7.318,6.558
18.5,7.554,5.291,7.059,6.494
19.5,7.308,5.104,6.831,6.453
20.5,7.088,4.939,6.63,6.377
21.5,6.892,4.795,6.448,6.358
22.5,6.715,4.672,6.274,6.309
23.5,6.549,4.566,6.108,6.195
24.5,6.388,4.476,5.949,6.019
25.5,6.235,4.399,5.798,5.985
26.5,6.087,4.335,5.656,5.98
27.5,5.947,4.281,5.522,5.964
28.5,5.813,4.235,5.396,5.895
29.5,5.686,4.197,5.278,5.754
30.5,5.566,4.165,5.168,5.616
31.5,5.452,4.138,5.065,5.514
32.5,5.345,4.116,4.97,5.397
33.5,5.245,4.097,4.882,5.285
34.5,5.15,4.081,4.801,5.111
35.5,5.062,4.068,4.726,4.663
36.5,4.979,4.057,4.657,4.459
37.5,4.902,4.048,4.594,4.347
38.5,4.83,4.04,4.536,4.276
39.5,4.763,4.034,4.483,4.259
40.5,4.702,4.028,4.436,4.239
41.5,4.644,4.024,4.392,4.225
