,default,min_abs_bias,min_rmsd,observation
0.5,22.164,22.452,22.173,21.474
1.5,22.164,22.452,22.173,20.91
2.5,22.164,22.374,22.103,20.547
3.5,21.704,21.342,21.187,20.116
4.5,21.171,20.276,20.535,19.606
5.5,20.838,18.454,19.487,19.211
6.5,20.23,16.576,18.457,18.437
7.5,19.307,14.925,17.449,17.596
8.5,18.336,13.566,16.51,17.044
9.5,17.354,12.468,15.663,16.371
10.5,16.448,11.578,14.914,15.615
11.5,15.651,10.852,14.258,14.859
12.5,14.967,10.255,13.687,13.96
13.5,14.384,9.759,13.19,13.373
14.5,13.888,9.345,12.76,12.574
15.5,13.464,8.997,12.386,11.835
16.5,13.102,8.703,12.063,11.49
17.5,12.792,8.454,11.784,11.231
18.5,12.526,8.243,11.544,11.13
19.5,12.299,8.064,11.337,11.006
20.5,12.106,7.911,11.161,10.885
21.5,11.942,7.781,11.011,10.813
