,default,min_abs_bias,min_rmsd,observation
0.5,18.181,19.254,19.28,18.5
1.5,18.181,19.254,19.28,18.421
2.5,18.181,19.254,19.28,18.29
3.5,18.181,19.254,19.28,17.947
4.5,18.181,19.254,18.339,16.323
5.5,18.181,18.576,15.443,13.314
6.5,17.447,14.99,13.211,11.547
7.5,14.95,12.971,11.396,10.482
8.5,13.739,11.348,9.969,9.66
9.5,12.731,10.033,8.866,8.827
10.5,11.872,8.981,8.018,8.27
11.5,11.132,8.147,7.365,7.416
12.5,10.49,7.492,6.859,6.632
13.5,9.932,6.977,6.462,6.072
14.5,9.444,6.57,6.149,5.773
15.5,9.016,6.246,5.898,5.59
16.5,8.639,5.987,5.675,5.474
17.5,8.306,5.762,5.47,5.305
18.5,8.011,5.554,5.283,5.217
19.5,7.747,5.365,5.114,5.146
20.5,7.512,5.192,4.963,5.081
21.5,7.301,5.037,4.83,5.03
22.5,7.111,4.898,4.712,4.975
23.5,6.939,4.775,4.609,4.926
24.5,6.78,4.666,4.519,4.874
25.5,6.626,4.571,4.442,4.833
26.5,6.477,4.488,4.376,4.792
27.5,6.335,4.417,4.32,4.764
28.5,6.197,4.355,4.272,4.737
29.5,6.065,4.303,4.232,4.702
30.5,5.939,4.259,4.198,4.647
31.5,5.818,4.221,4.17,4.587
32.5,5.703,4.19,4.147,4.566
33.5,5.593,4.164,4.128,4.531
34.5,5.489,4.142,4.112,4.486
35.5,5.39,4.124,4.1,4.465
36.5,5.296,4.109,4.089,4.445
37.5,5.207,4.097,4.081,4.44
38.5,5.123,4.087,4.074,4.422
39.5,5.043,4.079,4.069,4.396
40.5,4.969,4.073,4.065,4.366
41.5,4.899,4.068,4.061,4.346
42.5,4.833,4.064,4.058,4.311
43.5,4.771,4.061,4.056,4.292
44.5,4.714,4.058,4.054,4.278
45.5,4.66,4.056,4.053,4.262
46.5,4.61,4.054,4.052,4.253
47.5,4.563,4.053,4.051,4.237
48.5,4.52,4.052,4.05,4.228
49.5,4.48,4.051,4.049,4.236
50.5,4.443,4.051,4.048,4.225
51.5,4.409,4.05,4.047,4.216
52.5,4.377,4.05,4.047,4.214
53.5,4.348,4.05,4.046,4.215
54.5,4.321,4.05,4.045,4.204
55.5,4.296,4.049,4.044,4.194
