,default,min_abs_bias,min_rmsd,observation
0.5,17.274,17.169,17.179,15.956
1.5,17.274,17.169,17.179,15.81
2.5,17.274,17.169,17.179,15.726
3.5,17.274,17.169,17.179,15.632
4.5,17.274,17.169,17.179,15.47
5.5,17.274,17.169,17.179,15.307
6.5,17.274,17.169,17.179,15.162
7.5,17.274,14.878,15.848,14.95
8.5,17.274,12.746,13.317,14.67
9.5,17.004,11.485,12.016,13.765
10.5,15.45,10.527,11.029,12.59
11.5,14.739,9.787,10.263,11.287
12.5,14.147,9.209,9.66,10.486
13.5,13.648,8.754,9.183,10.043
14.5,13.228,8.392,8.802,9.738
15.5,12.875,8.101,8.497,9.595
16.5,12.58,7.868,8.251,9.587
