,default,min_abs_bias,min_rmsd,observation
0.5,18.217,18.076,16.77,14.981
1.5,17.79,17.547,16.173,13.94
2.5,17.197,16.969,15.492,13.751
3.5,16.953,16.412,14.871,13.713
4.5,16.442,15.434,14.152,13.698
5.5,15.498,13.881,13.528,13.685
6.5,13.441,12.697,12.948,13.6
7.5,12.085,11.714,12.411,13.461
8.5,11.051,10.896,11.913,13.369
9.5,10.239,10.212,11.454,13.296
10.5,9.588,9.637,11.03,13.226
11.5,9.056,9.15,10.64,13.166
12.5,8.616,8.735,10.281,13.133
13.5,8.248,8.379,9.951,13.011
14.5,7.936,8.072,9.648,12.558
15.5,7.669,7.805,9.368,11.848
16.5,7.438,7.572,9.111,10.997
17.5,7.238,7.367,8.874,10.156
18.5,7.063,7.186,8.654,9.077
19.5,6.906,7.025,8.452,8.169
20.5,6.758,6.875,8.264,7.473
21.5,6.616,6.731,8.09,6.883
22.5,6.483,6.594,7.928,6.361
23.5,6.357,6.464,7.777,6.121
24.5,6.238,6.341,7.636,6.019
25.5,6.126,6.224,7.504,5.97
26.5,6.02,6.114,7.374,5.912
27.5,5.922,6.009,7.248,5.856
28.5,5.829,5.911,7.125,5.834
29.5,5.742,5.819,7.005,5.827
30.5,5.661,5.732,6.888,5.772
31.5,5.586,5.651,6.775,5.71
32.5,5.516,5.575,6.664,5.66
33.5,5.45,5.504,6.557,5.593
34.5,5.39,5.438,6.453,5.574
35.5,5.334,5.376,6.352,5.534
36.5,5.282,5.319,6.254,5.524
37.5,5.233,5.266,6.16,5.532
38.5,5.189,5.217,6.068,5.533
39.5,5.148,5.172,5.979,5.503
40.5,5.111,5.13,5.894,5.42
41.5,5.076,5.092,5.811,5.382
42.5,5.044,5.056,5.731,5.345
