,default,min_abs_bias,min_rmsd,observation
0.5,21.232,21.909,21.873,22.404
1.5,21.232,21.909,21.873,22.031
2.5,21.232,21.909,21.873,20.609
3.5,21.232,21.84,21.781,18.95
4.5,21.122,21.106,20.735,16.696
5.5,20.761,15.706,15.309,13.646
6.5,20.497,9.611,10.594,9.198
7.5,20.197,7.302,8.222,7.141
8.5,19.678,6.172,6.912,6.121
9.5,19.015,5.542,6.135,5.865
10.5,18.305,5.16,5.646,5.745
11.5,17.542,4.86,5.32,5.672
12.5,16.821,4.631,5.047,5.567
13.5,16.187,4.466,4.821,5.476
14.5,15.651,4.352,4.642,5.429
15.5,15.208,4.276,4.503,5.348
16.5,14.843,4.226,4.398,5.317
17.5,14.543,4.195,4.321,5.303
18.5,14.298,4.175,4.266,5.305
19.5,14.098,4.162,4.227,5.304
20.5,13.936,4.155,4.2,5.307
