,name,provider_name,eb_int,station_id,n_total,n_depths,n_dates,min_date,max_date,bathymetric_data
72,Holmsjön,COMSAT,6808554,0,273,273,1,2011-08-01,2011-08-01,0
73,Rotevatnet,COMSAT,6883883,0,578,578,1,2011-07-23,2011-07-23,0
74,Sjysjøen,NINA,7053515,0,98,1,98,2008-06-29,2008-10-04,0
75,Nisser,NVE,7178345,1,1015,280,40,1994-03-05,2014-08-11,0
76,Vangsmjøsi,NVE,7355234,1,1038,358,43,1988-03-18,2014-08-11,0
77,Stora Le,COMSAT,7449222,0,1150,1150,1,2011-07-29,2011-07-29,0
78,Aspern,COMSAT,7514322,0,565,565,1,2011-07-29,2011-07-29,0
79,Andsvatnet,NVE,7695575,1,531,223,25,1998-05-08,2012-04-11,0
80,Gjersjøen,COMSAT,7758579,0,772,771,1,2011-08-08,2011-08-08,1
81,Begna ndf. Sperillen,NVE,7933325,0,6892,1,6892,1994-12-23,2013-11-04,1
82,Sperillen,NVE,7933325,2,459,252,18,2006-03-27,2014-08-12,1
83,Örlingen,COMSAT,8154555,0,287,287,1,2011-08-04,2011-08-04,0
84,Losna,NVE,8267260,1,720,286,37,1996-02-21,2014-08-14,1
85,Totak,NVE,8316760,1,1021,400,41,1994-03-03,2014-08-14,1
86,Gjøvatnet,NINA,8340336,0,199,1,199,2008-10-07,2009-04-23,0
87,Langtjern,NIVA,8365569,0,10791,8,1385,2010-05-26,2014-03-10,0
88,Atnsjøen,NINA,8376627,0,1923,12,263,1989-05-30,2011-10-12,0
89,Atna ndf. Atnsjøen,NVE,8376627,0,11382,1,11382,1982-08-11,2013-10-08,0
90,Atnsjøen,NVE,8376627,2,896,366,40,1994-03-07,2014-08-19,0
91,Grycken,COMSAT,8403543,0,381,381,1,2011-07-31,2011-07-31,0
92,Rødbyvatnet,COMSAT,8515280,0,531,531,1,2011-08-09,2011-08-09,1
93,Skøvatnet,NVE,8721011,1,622,270,25,1998-05-08,2012-04-11,1
94,Visten,COMSAT,8725679,0,506,436,1,2011-08-03,2011-08-03,0
95,Byglandsfjorden,NVE,8738561,1,1010,231,40,1994-02-18,2014-08-12,1
96,Tunhovdfjorden,NVE,9116622,1,682,244,41,1994-03-03,2014-08-14,0
97,Lognvikvatn,NVE,9122589,1,386,182,17,2006-08-17,2014-08-14,1
98,Halsjøen,COMSAT,9189278,0,330,330,1,2011-07-30,2011-07-30,0
99,Tisjön,COMSAT,9420448,0,556,556,1,2011-07-31,2011-07-31,0
100,Vostervatnet,COMSAT,9455305,0,1690,1690,1,2011-07-21,2011-07-21,0
101,Sira ndf. Sirdalsvatnet,NVE,9456350,0,10022,1,10022,1986-09-19,2014-02-25,0
102,Sirdalsvatnet,NVE,9456350,2,993,145,38,1994-02-26,2014-08-12,0
103,Edlandsvatnet,COMSAT,9491003,0,434,434,1,2011-07-21,2011-07-21,0
104,Vermundsjøen,COMSAT,9561357,0,491,491,1,2011-07-30,2011-07-30,0
105,Langvatnet,NINA,9581011,0,99,1,99,2008-06-28,2008-10-04,0
106,Lemonsjøen,NVE,9730342,1,762,284,42,1994-03-08,2014-08-13,0
107,Gjesåssjøen,COMSAT,9879973,0,155,155,1,2011-07-30,2011-07-30,0
108,Hetlandsvatn,COMSAT,9926876,0,1363,1362,1,2011-07-21,2011-07-21,0
109,Storsjön,COMSAT,10219952,0,256,256,1,2011-08-01,2011-08-01,0
110,Høvringsvatn,NVE,10462549,1,290,145,14,2008-03-04,2014-08-12,0
111,Klämmingen,COMSAT,10563534,0,936,875,1,2011-08-02,2011-08-02,0
112,Goksjø,COMSAT,10853722,0,403,403,1,2011-07-26,2011-07-26,0
113,Iesjavre ,NVE,10937579,1,629,232,42,1994-04-22,2014-08-19,0
114,Ørsdalsvatnet,NVE,10957758,1,977,68,38,1994-08-16,2014-08-13,0
115,Audna ndf. Øvre Øydnavatnet,NVE,10982293,0,9459,1,9459,1988-05-13,2014-04-05,0
116,Vansjø,EUTROPIA-Koji,11110535,0,816,8,102,2010-05-11,2010-08-20,1
117,Vannsjø,NVE,11110535,1,725,224,39,1995-03-04,2014-08-20,1
118,Aursunden,NVE,11292869,1,796,261,43,1994-03-07,2014-08-18,0
119,Litle Rostavatn,NVE,11520717,1,562,226,24,1998-04-19,2012-04-11,1
120,Rotnessjøen,COMSAT,11524147,0,783,783,1,2011-07-30,2011-07-30,0
121,Tesse,NVE,11577594,1,808,247,42,1994-03-08,2014-08-13,0
122,Raurenjavre,NINA,11629064,0,94,1,94,2008-06-29,2008-09-30,0
123,Grungevatnet,COMSAT,11638293,0,963,963,1,2011-07-27,2011-07-27,0
124,Nordelva ndf. Kringsvatnet,NVE,11646964,0,10078,1,10078,1986-12-03,2014-07-06,0
125,Bygdin,NVE,11758240,1,660,121,27,1994-03-05,2014-08-14,0
126,Femunden,NVE,12075686,1,810,241,40,1994-03-08,2014-08-18,0
127,Savalen,NVE,12164161,1,330,170,15,2007-08-23,2014-08-19,0
128,Hallevatnet,COMSAT,12413109,0,979,979,1,2011-07-26,2011-07-26,0
129,Breidvatn,NVE,12438643,1,725,261,42,1994-03-09,2014-08-14,0
130,Store Bjørnevatn,NVE,12485052,1,760,259,42,1994-03-09,2014-08-11,0
131,Breimsvatnet,NVE,12518585,1,911,47,36,1996-02-28,2014-08-12,1
132,Femsjøen,COMSAT,12521190,0,499,499,1,2011-07-29,2011-07-29,1
133,Rokossjøen,COMSAT,12742681,0,355,355,1,2011-07-30,2011-07-30,0
134,Søvatn,NINA,13371919,0,433,2,316,2008-06-12,2009-04-23,0
135,Skienselva ndf. Norsjø,NVE,13533319,0,9027,1,9027,1989-11-24,2014-08-11,0
136,Norsjø,NVE,13533319,2,965,157,38,1994-02-14,2014-08-11,0
137,Slipstikken,NINA,13669211,0,97,1,97,2008-06-29,2008-10-03,0
138,Tisken,COMSAT,13874290,0,261,261,1,2011-08-01,2011-08-01,0
139,Haukedalsvatnet,NVE,13888718,1,1029,381,41,1994-03-21,2014-08-12,1
140,Langen,COMSAT,13946620,0,603,560,1,2011-08-02,2011-08-02,0
