"","Id","vannlnr","vannlnr2","2011.pred_2011","2011.var_2011","2010.pred_2010","2010.var_2010","2010_rec2013.pred_2010_rec2013","2010_rec2013.var_2010_rec2013","2009.pred_2009","2009.var_2009","2009_rec2013.pred_2009_rec2013","2009_rec2013.var_2009_rec2013","2008.pred_2008","2008.var_2008","2008_rec2013.pred_2008_rec2013","2008_rec2013.var_2008_rec2013","2007.pred_2007","2007.var_2007","2007_rec2013.pred_2007_rec2013","2007_rec2013.var_2007_rec2013","2006.pred_2006","2006.var_2006","2006_rec2013.pred_2006_rec2013","2006_rec2013.var_2006_rec2013","2005.pred_2005","2005.var_2005","2005_rec2013.pred_2005_rec2013","2005_rec2013.var_2005_rec2013","2004.pred_2004","2004.var_2004","2004_rec2013.pred_2004_rec2013","2004_rec2013.var_2004_rec2013","2003_rec2013.pred_2003_rec2013","2003_rec2013.var_2003_rec2013","2003.pred_2003","2003.var_2003","2002_rec2013.pred_2002_rec2013","2002_rec2013.var_2002_rec2013","2002.pred_2002","2002.var_2002","2001_rec2013.pred_2001_rec2013","2001_rec2013.var_2001_rec2013","2001.pred_2001","2001.var_2001","2000_rec2013.pred_2000_rec2013","2000_rec2013.var_2000_rec2013","2000.pred_2000","2000.var_2000","1999.pred_1999","1999.var_1999","1998.pred_1998","1998.var_1998","1997.pred_1997","1997.var_1997","1996.pred_1996","1996.var_1996","1995.pred_1995","1995.var_1995","1990_rec2013.pred_1990_rec2013","1990_rec2013.var_1990_rec2013","1990.pred_1990","1990.var_1990","1985.pred_1985","1985.var_1985","1980.pred_1980","1980.var_1980"
"0",0,3562,3562,202.609033102045,713.124616086005,179.42030682777,572.906059631646,177.305830613905,555.158602973674,174.315968372758,795.160178303517,175.403567291923,707.457911048387,171.87729342292,849.451393297873,180.871375502358,728.721024354212,130.587149114833,1009.36205449409,151.139465899996,822.350103529894,217.771467977464,755.113226362503,188.441519148581,804.952003252551,196.271078989445,799.130878833427,204.447868060987,873.091898541334,216.636124770735,656.432966376692,158.083721290656,865.704160758728,204.194979043936,764.632684954012,208.468783228527,579.150940312219,201.259606112678,713.92135417826,176.036432508602,529.189914048496,181.03224626594,934.206444355267,260.408830222314,825.724614608884,323.985556171414,1033.69915148646,321.533100555375,720.298279958252,301.232562271244,795.991445957038,258.535660314803,1086.75008260455,184.911735573894,718.276978828748,202.479889564897,596.811728217461,278.461893900633,864.958910682748,256.836576834218,2303.95747554777,310.721663493533,933.630232350305,365.07793023395,1507.42923718509,274.288400282737,1587.37491376855
"1",0,3608,3608,216.271174531106,667.317711338429,187.534872414294,536.086648928268,185.527516512165,519.479676257266,182.448108449695,744.059860269296,184.160974298111,661.99353399572,183.307822497025,794.86841536665,192.787020370452,681.894583618038,131.1852162906,944.512211469208,162.070584849985,769.510427712547,220.520032390386,706.593921150078,201.829790002741,753.23190863625,199.224537483303,747.784744563167,216.563385913914,817.007393174122,220.510634904126,614.247255968592,169.032130924492,810.07830259082,215.959240493982,715.525741387315,210.557800490968,541.946715147203,217.583111424526,668.038700955123,180.423630715864,495.178907277364,194.875961568654,874.169795124766,267.441602237659,772.656128938763,347.151903226679,967.275779780198,321.925526866315,674.007388315458,305.026784030093,744.840201273569,267.449890308032,1016.91048771483,188.215827928574,672.118254699834,203.468020308106,558.456841543928,281.649430784547,809.385863749479,283.040547360629,2156.01484659056,314.552148889357,873.626414156557,381.286266861389,1410.54757809574,277.221204562476,1485.35790691641
"2",0,316,316,175.924933763475,159.402344883928,146.464245639819,128.066140104893,144.687653479065,124.098948189563,153.725982666945,177.747381343744,152.471833667619,158.142774189794,155.465162555163,189.881370377625,163.824215515739,162.894410099451,121.944130073099,225.62406322452,128.08074693091,183.82269340676,201.469439542188,168.792974250762,160.722344211361,179.933084472144,184.414773007609,178.631892969238,178.843528006724,195.160037504959,193.990446914,146.736967635627,133.593658373617,193.513933926898,168.551055928821,170.912942046849,182.212417658606,129.456651648238,157.138129487006,159.588547803405,168.891735085397,118.29430397794,154.189317627607,208.829516985872,219.053998483913,184.580957979142,262.578782130679,231.067437819327,293.09412377423,161.013506929976,270.245067436401,177.93237830163,214.13325494591,242.928551019357,167.029392976998,160.560924899534,204.891924487471,133.409668232425,253.871611679127,193.345719868124,211.68679407047,514.979288186759,284.506136358737,208.702094672435,302.797106555971,336.968183324838,263.671282120434,354.838211994627
"3",0,133,133,208.486689121397,500.577432965942,163.712916431367,402.158788062079,161.416219341004,389.700774396848,177.112576805436,558.171784934526,178.574495827753,496.608243984552,175.073198273196,596.279608918775,189.92629390604,511.532381146275,129.021062943235,708.526880164389,157.00721071463,577.254887939381,203.189481491525,530.05741288987,190.119494883377,565.04149261297,181.506069450705,560.955339324639,213.160355242182,612.867276250616,205.234703678868,460.790863239603,154.400676709621,607.68779188241,204.368287073801,536.730087243638,187.662106141509,406.535879921325,197.756626254749,501.14648844367,167.175481019476,371.472129369166,179.079604581258,655.777155806161,243.746270191639,579.628422694131,333.193574500496,725.614376608798,297.81207892383,505.622219792668,272.849408862154,558.754310265419,236.002004409504,762.856851048323,169.92139996286,504.202443015443,196.867024204874,418.939332545077,265.572497401233,607.162697142031,270.307017684696,1617.24173420554,294.074365540274,655.374347326506,334.516455135777,1058.16035980987,270.448782559369,1114.27824527307
"4",0,3494,3494,186.58962763695,574.294242307707,164.249508230151,461.313218807836,162.021922582113,447.022350363083,163.693753641754,640.284768586997,164.157781500805,569.663959997952,158.393515568597,684.021192861417,167.940197613951,586.799256702397,128.886425808924,812.815695339809,138.212067434303,662.203655349476,212.162900690354,608.06096521232,170.716621795328,648.198916499528,190.611516504671,643.511185539265,189.595552303297,703.112261423766,210.069897561938,528.576002207778,141.994833849675,697.11331477681,187.394171170498,615.801320781677,200.987915669396,466.393105320965,176.869108230441,574.859456339628,169.497837407337,426.108737523237,163.674368134222,752.246652885766,248.41636297791,664.883748537125,297.20018582613,832.382969197988,315.867027636559,579.999214028706,290.837146072991,640.961884011017,241.858642798587,875.079426342761,177.99833813371,578.378666634022,201.880399299927,480.565213379115,272.748472257842,696.528518377315,225.269750110122,1855.5808050606,304.586298885768,751.769615487283,340.682753720994,1213.79860453125,271.557423884406,1278.18019528509
"5",0,3454,3454,177.668419772914,374.341497623832,158.291907631826,300.660216576283,156.049798199632,291.345960990153,157.980837336402,417.310170076814,158.03287365556,371.282221590833,151.3733327069,445.827801176339,160.251606082321,382.458685171543,128.201989067584,529.789051631867,130.711843895646,431.611245973529,211.32910578613,396.322305091601,161.570441164969,422.486445205689,190.0583439093,419.430935374606,180.542492005698,458.304476226802,208.116779364156,344.502067264352,134.183431556564,454.363732970765,178.089493561145,401.413360319836,199.585642068551,304.002693118186,163.836184183767,374.662852345138,167.69572850904,277.713570656088,155.512287192875,490.280908106712,244.203363976593,433.33512908842,282.091316766213,542.523913806578,315.588876982519,378.0157332733,288.96445263424,417.756262250265,235.95199473546,570.338325966649,176.469332549231,376.96387803362,203.03485537426,313.209378117579,271.391501203439,453.992011957428,207.389396513514,1209.61667315031,303.804968274867,489.961954194682,332.185602208716,791.08667608961,271.223511460625,833.052234431162
"6",0,3344,3344,172.428385826432,707.671798543885,143.749674098641,568.505302455256,141.958237470085,550.894061972152,150.898867587008,789.055173771108,149.779288338946,702.026078065434,151.007156651981,842.936132044716,159.691441657952,723.130508452758,123.429897490778,1001.62910675396,123.358145204816,816.044646846321,201.528041483631,749.323421433308,154.878045528186,798.781693507517,184.589691942837,793.005127614053,172.359109066089,866.41357012247,193.403882494327,651.392460839268,126.836227868162,859.065773330988,163.172548877993,758.794902658923,182.000447761365,574.719416334388,146.874603232854,708.436870257903,167.096704530527,525.123775953136,148.017648493212,927.033221530031,216.66898659405,819.38081560151,253.684635275587,1025.76943657266,293.931830864245,714.766468487361,267.806753676136,789.882654626424,210.177837302742,1078.40582696932,166.124086247933,712.76304986662,203.286706010019,592.228266095102,255.028032126443,858.331365084054,199.560287650564,2286.39257270364,284.427823624119,926.457063639306,297.877657808458,1495.84736088147,264.290010802549,1575.18163248431
"7",0,3438,3438,170.813203201072,130.264178683343,153.128835635274,104.610926246605,150.885035076689,101.370074691786,153.314358606225,145.199810843652,153.080509372982,129.184625042681,146.003607409505,155.126706823494,154.453950042252,133.076452233468,127.417589280797,184.347111701576,125.087247760908,150.181326242848,210.49600433353,137.90243049785,154.103714527024,147.007475118593,189.509047874334,145.94424412465,173.657550174534,159.480230880177,206.471185616999,119.866393997813,127.820684453253,158.097827800006,170.711584768898,139.690663671987,198.04765825673,105.785435072812,153.579598820158,130.358859823291,166.343803931374,96.6261376886206,149.192671570767,170.588964369457,240.691254541764,150.772801082791,270.58988159544,188.771459827639,314.782676440594,131.526563864705,287.12313758708,145.356765328339,230.870798092457,198.444419194762,175.096020542962,131.162162874663,204.043225440036,108.977868609926,270.130540051267,157.971923492889,193.786232200853,420.959960988447,303.249434323894,170.475057798528,325.508488292876,275.246875457259,271.105698738135,289.850064893347
"8",0,323,323,167.072991410508,285.495673152532,135.719676397419,229.383606190997,134.165931602316,222.27790162494,146.614191508828,318.367533327314,144.295272061982,283.25336864917,151.330057961682,340.096991034374,158.722178909796,291.761344516443,118.195149814703,404.11043290438,120.025219702388,329.244096645516,195.849021453057,302.324362068128,152.500397078154,322.276368584806,181.164467425733,319.945855942828,170.023770768053,349.540490028363,185.1526031835,262.824419490427,126.80956809568,346.602350884945,155.740349102827,306.10617922696,172.549203421207,231.863696830135,142.763518819885,285.844777965153,167.975546949034,211.881662123187,146.357220021959,374.03988555615,202.714754008194,330.609837938624,239.060879943151,413.866241126602,281.852036766523,288.396056985738,259.562687270707,318.697300008314,198.313830798476,435.115378085893,161.066748232065,287.583983143222,206.794527441519,238.954015096445,243.826959303512,346.297933319759,198.148893976511,922.315856070636,273.905264253738,373.814326768601,280.531275653521,603.556730028768,259.262270088565,635.562700147512
"9",0,3415,3415,181.610666081182,498.981081312045,150.017500345825,400.807546252536,147.873577388576,388.391014122727,159.784644599872,556.306574741932,159.459092988652,494.948139948891,156.884739269867,594.309542839675,167.816083703252,509.838032847424,128.254638518341,706.216118065762,133.399786304193,575.354304554138,205.286332385555,528.312584710342,164.750106853265,563.187086854088,183.932521655706,559.1141278655,184.900524873949,610.904822684805,201.785476244244,459.248990332491,133.24688729176,605.685266268873,175.495745928856,535.048832653256,186.964056073691,405.228761162971,161.62540414929,499.460869519543,166.919413530893,370.21994883723,156.064290841056,653.583517826095,232.339470686868,577.677387758249,282.488226535359,723.212613389436,300.583300623675,503.927231056977,273.887763087779,556.89602868504,223.241337335348,760.305911473564,168.891424604257,502.52027579346,201.470970738797,417.534867460088,263.154626746719,605.179433660102,215.311731039618,1612.26223407283,291.837245624198,653.167115873347,314.196266239652,1054.59606985241,270.199360383985,1110.53458949797
