,default,min_abs_bias,min_rmsd,observation
0.5,16.47,17.742,17.742,18.105
1.5,16.47,17.742,17.742,17.868
2.5,16.47,17.742,17.742,17.737
3.5,16.47,17.742,17.742,17.168
4.5,16.47,17.742,17.742,15.535
5.5,16.47,17.282,17.282,11.646
6.5,16.47,11.734,11.734,9.362
7.5,16.47,10.467,10.467,8.88
8.5,16.47,9.671,9.671,8.656
9.5,16.47,8.998,8.998,8.371
10.5,15.443,8.502,8.502,7.798
11.5,13.546,8.094,8.094,7.465
12.5,12.861,7.627,7.627,6.955
13.5,12.307,6.947,6.947,5.586
14.5,11.851,6.093,6.093,5.019
15.5,11.471,5.449,5.449,4.939
16.5,11.151,5.078,5.078,4.804
17.5,10.879,4.792,4.792,4.696
18.5,10.648,4.588,4.588,4.681
19.5,10.449,4.454,4.454,4.662
20.5,10.277,4.372,4.372,4.641
21.5,10.128,4.326,4.326,4.597
22.5,9.999,4.302,4.302,4.55
23.5,9.885,4.29,4.29,4.495
24.5,9.786,4.285,4.285,4.453
25.5,9.698,4.282,4.282,4.445
26.5,9.616,4.281,4.281,4.433
27.5,9.54,4.281,4.281,4.424
28.5,9.469,4.281,4.281,4.406
29.5,9.403,4.281,4.281,4.39
30.5,9.341,4.281,4.281,4.4
31.5,9.285,4.281,4.281,4.391
32.5,9.233,4.28,4.28,4.383
33.5,9.185,4.28,4.28,4.38
34.5,9.141,4.28,4.28,4.365
35.5,9.101,4.28,4.28,4.348
36.5,9.064,4.279,4.279,4.331
37.5,9.03,4.278,4.278,4.332
38.5,9.0,4.276,4.276,4.328
