,default,min_abs_bias,min_rmsd,observation
0.5,20.999,20.819,21.458,20.239
1.5,20.999,20.819,21.458,19.11
2.5,20.999,20.819,21.307,18.736
3.5,19.66,19.848,19.693,18.602
4.5,19.417,19.481,19.596,18.518
5.5,19.21,19.31,19.5,18.317
6.5,19.004,19.137,19.4,17.981
7.5,18.757,18.98,19.15,17.115
8.5,18.34,18.792,16.07,14.045
9.5,17.511,18.531,12.467,11.323
10.5,16.745,18.1,11.584,9.725
11.5,16.082,17.676,11.166,9.05
12.5,15.526,17.276,10.91,8.526
13.5,15.065,16.913,10.739,7.9
14.5,14.683,16.59,10.621,7.484
15.5,14.367,16.309,10.539,7.159
16.5,14.104,16.065,10.475,6.915
17.5,13.886,15.857,10.425,6.56
18.5,13.706,15.68,10.385,6.423
