,default,min_abs_bias,min_rmsd,observation
0.5,19.435,20.082,19.596,17.476
1.5,19.435,20.082,19.596,17.758
2.5,19.435,19.981,19.33,17.218
3.5,19.435,18.065,17.344,17.069
4.5,19.435,9.015,14.518,16.902
5.5,19.357,5.819,12.451,16.705
6.5,19.226,4.953,10.951,16.401
7.5,19.19,4.542,9.85,15.905
8.5,19.129,4.282,9.024,14.699
9.5,19.016,4.135,8.391,12.506
10.5,18.075,4.06,7.897,10.478
11.5,16.88,4.025,7.504,9.037
12.5,16.116,4.01,7.186,7.794
13.5,15.559,4.004,6.925,6.941
14.5,15.137,4.001,6.709,6.603
15.5,14.805,4.0,6.526,6.388
16.5,14.54,4.0,6.357,6.292
17.5,14.325,4.0,6.2,6.069
